ticker,AK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.069
2000-01-04,0.3521
2000-01-05,-1.4035
2000-01-06,2.4911
2000-01-07,0.6944
2000-01-10,0.3448
2000-01-11,0.0
2000-01-12,-1.7182
2000-01-13,1.049
2000-01-14,-0.692
2000-01-18,-1.3937
2000-01-19,7.0671
2000-01-20,2.6403
2000-01-21,-3.537
2000-01-24,0.3333
2000-01-25,-7.6411999999999995
2000-01-26,-2.1583
2000-01-27,0.3676
2000-01-28,-0.7326
2000-01-31,-2.214
2000-02-01,-3.0189
2000-02-02,1.9455
2000-02-03,6.1068999999999996
2000-02-04,0.0
2000-02-07,0.7194
2000-02-08,-1.0714
2000-02-09,-2.8881
2000-02-10,-2.6022
2000-02-11,-3.8167999999999997
2000-02-14,0.7937
2000-02-15,-5.5118
2000-02-16,0.4167
2000-02-17,0.0
2000-02-18,-2.4896
2000-02-22,-4.2553
2000-02-23,-0.4444
2000-02-24,-4.0179
2000-02-25,-4.6512
2000-02-28,-0.9756
2000-02-29,0.9852
2000-03-01,3.9024
2000-03-02,0.0
2000-03-03,4.2254
2000-03-06,3.1532
2000-03-07,-0.4367
2000-03-08,-3.0702
2000-03-09,-3.1673999999999998
2000-03-10,-2.3364
2000-03-13,-1.4354
2000-03-14,-0.9709
2000-03-15,0.9804
2000-03-16,2.4272
2000-03-17,1.4218
2000-03-20,1.8692
2000-03-21,-0.3119
2000-03-22,2.3041
2000-03-23,0.9009
2000-03-24,3.5714
2000-03-27,3.0172
2000-03-28,-0.8368
2000-03-29,-1.6878
2000-03-30,2.1459
2000-03-31,1.6806999999999999
2000-04-03,-2.0661
2000-04-04,-1.2658
2000-04-05,1.7094
2000-04-06,0.8403
2000-04-07,-1.6667
2000-04-10,-3.8136
2000-04-11,-4.8458
2000-04-12,-4.1667
2000-04-13,4.3478
2000-04-14,0.463
2000-04-17,2.765
2000-04-18,2.2422
2000-04-19,-0.4386
2000-04-20,-6.6079
2000-04-24,-3.7736
2000-04-25,-0.9804
2000-04-26,0.0
2000-04-27,0.9901
2000-04-28,1.9607999999999999
2000-05-01,1.4423
2000-05-02,-2.8436
2000-05-03,0.9756
2000-05-04,-0.4831
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,-2.9126
2000-05-10,-3.5
2000-05-11,-0.5181
2000-05-12,5.2083
2000-05-15,-0.9901
2000-05-16,-4.0
2000-05-17,7.2917
2000-05-18,-0.9709
2000-05-19,1.4706000000000001
2000-05-22,-0.9662
