ticker,JAH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.565
2000-01-04,1.1364
2000-01-05,0.8427
2000-01-06,2.507
2000-01-07,-0.5435
2000-01-10,-1.3660999999999999
2000-01-11,-2.4931
2000-01-12,-1.1364
2000-01-13,-1.1494
2000-01-14,5.5233
2000-01-18,4.6832
2000-01-19,3.1579
2000-01-20,-0.5102
2000-01-21,-0.5128
2000-01-24,2.0619
2000-01-25,-0.7576
2000-01-26,-2.799
2000-01-27,1.5707
2000-01-28,-0.7732
2000-01-31,-1.039
2000-02-01,0.0
2000-02-02,-0.5249
2000-02-03,0.7916
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,1.5707
2000-02-09,0.2577
2000-02-10,1.5424
2000-02-11,-0.5063
2000-02-14,0.5089
2000-02-15,-0.7595
2000-02-16,-6.6327
2000-02-17,4.3716
2000-02-18,-0.5236
2000-02-22,0.2632
2000-02-23,-0.2625
2000-02-24,-3.1579
2000-02-25,-1.3587
2000-02-28,-0.2755
2000-02-29,3.3149
2000-03-01,0.0
2000-03-02,-1.6042999999999998
2000-03-03,-1.9022000000000001
2000-03-06,1.108
2000-03-07,0.8219
2000-03-08,-0.5435
2000-03-09,1.3660999999999999
2000-03-10,-0.5391
2000-03-13,-0.271
2000-03-14,-0.8152
2000-03-15,0.0
2000-03-16,5.2055
2000-03-17,-2.3438
2000-03-20,-1.8667
2000-03-21,1.087
2000-03-22,-1.0753
2000-03-23,1.087
2000-03-24,0.5376
2000-03-27,-2.1390000000000002
2000-03-28,0.2732
2000-03-29,-0.2725
2000-03-30,0.0
2000-03-31,-1.0929
2000-04-03,1.9337
2000-04-04,1.626
2000-04-05,2.4
2000-04-06,0.2604
2000-04-07,2.3377
2000-04-10,0.0
2000-04-11,0.0
2000-04-12,1.5228000000000002
2000-04-13,0.0
2000-04-14,-1.5
2000-04-17,-2.5381
2000-04-18,1.0417
2000-04-19,2.0619
2000-04-20,0.0
2000-04-24,-3.0303
2000-04-25,-5.2083
2000-04-26,-2.4725
2000-04-27,-8.169
2000-04-28,4.2945
2000-05-01,3.2353
2000-05-02,-1.9943
2000-05-03,0.2907
2000-05-04,0.0
2000-05-05,-0.2899
2000-05-08,0.0
2000-05-09,-0.5814
2000-05-10,0.5848
2000-05-11,0.8721
2000-05-12,14.121
2000-05-15,0.0
2000-05-16,0.0
2000-05-17,-4.2929
2000-05-18,3.4301
2000-05-19,0.0
2000-05-22,-1.5306
2000-05-23,-1.0363
