ticker,GAPTQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.3453
2000-01-04,-0.885
2000-01-05,0.6696
2000-01-06,-1.2749
2000-01-07,0.7524
2000-01-10,-2.6846
2000-01-11,1.1494
2000-01-12,1.8182
2000-01-13,2.9018
2000-01-14,-1.0846
2000-01-18,0.8772
2000-01-19,0.4348
2000-01-20,-1.5152
2000-01-21,-1.5385
2000-01-24,-1.7856999999999998
2000-01-25,0.4545
2000-01-26,-1.1312
2000-01-27,0.4577
2000-01-28,-0.6834
2000-01-31,1.3761
2000-02-01,-2.2624
2000-02-02,3.2407
2000-02-03,-2.9148
2000-02-04,-1.6166
2000-02-07,0.0
2000-02-08,-1.6432
2000-02-09,-3.1026
2000-02-10,1.4778
2000-02-11,1.4563
2000-02-14,-2.3923
2000-02-15,0.7353
2000-02-16,-0.4866
2000-02-17,-1.956
2000-02-18,-0.7481
2000-02-22,-0.5025
2000-02-23,-0.2525
2000-02-24,-5.3165
2000-02-25,1.6042999999999998
2000-02-28,1.3158
2000-02-29,-2.5974
2000-03-01,0.8
2000-03-02,-3.4392
2000-03-03,0.274
2000-03-06,-3.2787
2000-03-07,-5.0847
2000-03-08,0.8929
2000-03-09,0.295
2000-03-10,-4.1176
2000-03-13,4.908
2000-03-14,-12.5731
2000-03-15,-5.6856
2000-03-16,0.7092
2000-03-17,2.1127
2000-03-20,-1.0345
2000-03-21,5.2265
2000-03-22,0.0
2000-03-23,-0.3311
2000-03-24,-3.6545
2000-03-27,-1.3793
2000-03-28,6.6434
2000-03-29,2.1639
2000-03-30,0.6452
2000-03-31,0.0
2000-04-03,-2.5641
2000-04-04,-4.6053
2000-04-05,1.3793
2000-04-06,1.7006999999999999
2000-04-07,-1.0033
2000-04-10,-5.4054
2000-04-11,7.1429
2000-04-12,1.0
2000-04-13,3.3003
2000-04-14,-4.1534
2000-04-17,-2.3333
2000-04-18,1.0239
2000-04-19,2.3649
2000-04-20,-3.6304
2000-04-24,-0.3425
2000-04-25,3.0928
2000-04-26,-1.0
2000-04-27,-1.3468
2000-04-28,0.0
2000-05-01,4.0956
2000-05-02,-2.9508
2000-05-03,-1.3514
2000-05-04,0.0
2000-05-05,1.7123
2000-05-08,-1.6835
2000-05-09,3.0822
2000-05-10,-1.3289
2000-05-11,0.6734
2000-05-12,-3.01
2000-05-15,4.8276
2000-05-16,-0.6579
2000-05-17,-0.6623
2000-05-18,0.3333
2000-05-19,-1.3289
2000-05-22,1.0101
2000-05-23,-1.6667
