ticker,WST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.2222
2000-01-04,1.0331
2000-01-05,-0.409
2000-01-06,-1.0267
2000-01-07,1.0373
2000-01-10,2.0534
2000-01-11,-2.8169
2000-01-12,0.6211
2000-01-13,1.6461000000000001
2000-01-14,-1.2713
2000-01-18,0.4124
2000-01-19,0.2053
2000-01-20,-0.4098
2000-01-21,0.4115
2000-01-24,-0.4098
2000-01-25,4.321
2000-01-26,-0.1972
2000-01-27,-2.3715
2000-01-28,0.6073
2000-01-31,-0.4024
2000-02-01,0.8081
2000-02-02,-2.004
2000-02-03,-1.8405
2000-02-04,-0.625
2000-02-07,3.1447
2000-02-08,2.2358000000000002
2000-02-09,-0.1988
2000-02-10,0.996
2000-02-11,-2.1696
2000-02-14,1.8145
2000-02-15,-10.099
2000-02-16,-1.3216
2000-02-17,4.0179
2000-02-18,-1.9313
2000-02-22,-2.6258
2000-02-23,0.0
2000-02-24,-4.2697
2000-02-25,0.0
2000-02-28,3.2864
2000-02-29,7.0455
2000-03-01,-1.2739
2000-03-02,-3.2258
2000-03-03,-2.4444
2000-03-06,1.3667
2000-03-07,-0.2247
2000-03-08,-0.6757
2000-03-09,-1.5873
2000-03-10,-2.765
2000-03-13,-2.1327
2000-03-14,0.2421
2000-03-15,0.9662
2000-03-16,4.7847
2000-03-17,-0.9132
2000-03-20,-1.1521
2000-03-21,1.1655
2000-03-22,-1.8433000000000002
2000-03-23,-0.7042
2000-03-24,-0.9456
2000-03-27,0.4773
2000-03-28,-0.4751
2000-03-29,-3.1026
2000-03-30,4.6798
2000-03-31,-4.7059
2000-04-03,-3.2099
2000-04-04,-1.0204
2000-04-05,2.0619
2000-04-06,-1.5152
2000-04-07,-1.0256
2000-04-10,-3.3679
2000-04-11,-1.6086
2000-04-12,1.3624
2000-04-13,1.0753
2000-04-14,0.7979
2000-04-17,2.0369
2000-04-18,3.6458
2000-04-19,-1.5074999999999998
2000-04-20,-1.2755
2000-04-24,0.2584
2000-04-25,1.5464
2000-04-26,-1.5228000000000002
2000-04-27,1.5464
2000-04-28,-0.7614
2000-05-01,-0.7673
2000-05-02,-3.0928
2000-05-03,-2.3936
2000-05-04,2.4523
2000-05-05,-0.266
2000-05-08,0.2667
2000-05-09,-1.3298
2000-05-10,-2.4259
2000-05-11,4.1436
2000-05-12,0.2653
2000-05-15,-0.5291
2000-05-16,0.266
2000-05-17,-1.061
2000-05-18,0.0
2000-05-19,-0.8043
2000-05-22,-0.5405
