ticker,TR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.4668
2000-01-04,-1.3618999999999999
2000-01-05,0.3945
2000-01-06,2.3576
2000-01-07,0.9597
2000-01-10,-0.3802
2000-01-11,-1.145
2000-01-12,0.0
2000-01-13,-1.5444
2000-01-14,-0.7843
2000-01-18,-0.7905
2000-01-19,-0.5976
2000-01-20,-0.2004
2000-01-21,-0.4016
2000-01-24,-1.8145
2000-01-25,1.6427
2000-01-26,-0.6061
2000-01-27,0.813
2000-01-28,-1.2097
2000-01-31,2.8571
2000-02-01,-1.1905000000000001
2000-02-02,2.8112
2000-02-03,0.1953
2000-02-04,1.3645
2000-02-07,-0.3846
2000-02-08,-0.3861
2000-02-09,-2.5194
2000-02-10,-3.1809
2000-02-11,-1.232
2000-02-14,-0.4158
2000-02-15,1.4614
2000-02-16,-2.0576
2000-02-17,0.6303
2000-02-18,-1.0438
2000-02-22,-1.4768
2000-02-23,0.2141
2000-02-24,-0.641
2000-02-25,-0.4301
2000-02-28,0.8639
2000-02-29,1.7130999999999998
2000-03-01,0.0
2000-03-02,-0.8421
2000-03-03,0.1507
2000-03-06,0.2188
2000-03-07,-1.0917
2000-03-08,2.8698
2000-03-09,-1.9313
2000-03-10,-0.8753
2000-03-13,0.6623
2000-03-14,0.6579
2000-03-15,3.7037
2000-03-16,3.9916
2000-03-17,-2.4242
2000-03-20,0.4141
2000-03-21,1.0309
2000-03-22,-1.2245
2000-03-23,2.0661
2000-03-24,3.4413
2000-03-27,-2.7397
2000-03-28,1.4085
2000-03-29,1.9841
2000-03-30,0.1946
2000-03-31,-2.1359
2000-04-03,2.3810000000000002
2000-04-04,-2.1318
2000-04-05,0.0
2000-04-06,0.7921
2000-04-07,-3.1434
2000-04-10,0.4057
2000-04-11,0.0
2000-04-12,1.4141
2000-04-13,0.0
2000-04-14,-2.7888
2000-04-17,0.2049
2000-04-18,0.6135
2000-04-19,0.813
2000-04-20,1.2097
2000-04-24,-1.7928
2000-04-25,-0.2028
2000-04-26,-0.2033
2000-04-27,0.0
2000-04-28,0.4073
2000-05-01,-1.4199
2000-05-02,0.823
2000-05-03,4.898
2000-05-04,0.3891
2000-05-05,1.5504
2000-05-08,0.0
2000-05-09,-0.5725
2000-05-10,0.5758
2000-05-11,-0.7634
2000-05-12,-0.9615
2000-05-15,2.7184
2000-05-16,0.189
2000-05-17,1.5093999999999999
2000-05-18,3.1599
2000-05-19,-0.1802
2000-05-22,-0.722
2000-05-23,-0.3636
