ticker,KCP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0984
2000-01-04,-4.1311
2000-01-05,-0.2972
2000-01-06,-0.7452
2000-01-07,1.8018
2000-01-10,2.3599
2000-01-11,-0.5764
2000-01-12,-0.8696
2000-01-13,-5.7018
2000-01-14,4.186
2000-01-18,-0.4464
2000-01-19,-0.4484
2000-01-20,-2.2523
2000-01-21,0.768
2000-01-24,-2.8963
2000-01-25,-2.0408
2000-01-26,-4.8077
2000-01-27,-3.5354
2000-01-28,-0.5236
2000-01-31,-7.0175
2000-02-01,0.0
2000-02-02,26.0377
2000-02-03,16.4671
2000-02-04,-2.8278
2000-02-07,3.1746
2000-02-08,3.3333
2000-02-09,-3.4739
2000-02-10,-4.3702
2000-02-11,1.2097
2000-02-14,5.7105
2000-02-15,-3.392
2000-02-16,-0.9103
2000-02-17,-2.4934
2000-02-18,-0.9421
2000-02-22,-0.1359
2000-02-23,4.2177
2000-02-24,5.0914
2000-02-25,1.6149
2000-02-28,-0.2445
2000-02-29,0.0
2000-03-01,-0.4902
2000-03-02,0.3695
2000-03-03,2.6994
2000-03-06,0.5974
2000-03-07,-2.6128
2000-03-08,0.0
2000-03-09,0.2439
2000-03-10,0.8516
2000-03-13,-0.4825
2000-03-14,-0.4848
2000-03-15,1.3397999999999999
2000-03-16,2.2837
2000-03-17,1.9976
2000-03-20,1.3825
2000-03-21,-0.3409
2000-03-22,3.9909
2000-03-23,3.2895
2000-03-24,-0.6369
2000-03-27,2.9915000000000003
2000-03-28,-3.8382
2000-03-29,3.5599
2000-03-30,2.1875
2000-03-31,-3.9755000000000003
2000-04-03,2.5478
2000-04-04,0.1553
2000-04-05,6.6667
2000-04-06,-2.0349
2000-04-07,2.5223
2000-04-10,5.644
2000-04-11,-3.8356
2000-04-12,-2.849
2000-04-13,-1.173
2000-04-14,-9.4955
2000-04-17,0.0
2000-04-18,-0.1639
2000-04-19,1.8062
2000-04-20,1.9355
2000-04-24,0.7911
2000-04-25,1.7268
2000-04-26,0.7716
2000-04-27,-0.9188
2000-04-28,1.0819
2000-05-01,0.3058
2000-05-02,-1.8293
2000-05-03,-2.4845
2000-05-04,-0.4777
2000-05-05,4.16
2000-05-08,-1.9969000000000001
2000-05-09,-1.8809
2000-05-10,-2.8754
2000-05-11,1.1513
2000-05-12,1.3008
2000-05-15,-0.321
2000-05-16,-0.3221
2000-05-17,0.9693
2000-05-18,-0.8
2000-05-19,-3.3871
2000-05-22,-1.1686
