ticker,NNS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-7.5
2000-01-04,2.457
2000-01-05,2.6379
2000-01-06,-3.7382999999999997
2000-01-07,0.9709
2000-01-10,6.9712
2000-01-11,-4.4944
2000-01-12,1.8824
2000-01-13,0.2309
2000-01-14,-2.3041
2000-01-18,-1.4151
2000-01-19,0.0
2000-01-20,-0.9569
2000-01-21,-1.9324
2000-01-24,4.1872
2000-01-25,-4.0189
2000-01-26,0.7389
2000-01-27,1.467
2000-01-28,-2.4096
2000-01-31,0.2469
2000-02-01,4.1872
2000-02-02,2.3641
2000-02-03,-2.7714
2000-02-04,2.6128
2000-02-07,-0.9259
2000-02-08,-0.9346
2000-02-09,-2.6792
2000-02-10,3.8834999999999997
2000-02-11,0.0
2000-02-14,1.8692
2000-02-15,2.0642
2000-02-16,-0.4494
2000-02-17,-0.9029
2000-02-18,-2.0501
2000-02-22,5.5814
2000-02-23,-0.8811
2000-02-24,-0.8889
2000-02-25,-4.9327
2000-02-28,3.3019
2000-02-29,3.4247
2000-03-01,0.2208
2000-03-02,1.5419
2000-03-03,3.0369
2000-03-06,-4.8421
2000-03-07,-0.2212
2000-03-08,1.9956
2000-03-09,-0.4348
2000-03-10,-0.2183
2000-03-13,1.5316999999999998
2000-03-14,0.2155
2000-03-15,1.5053999999999998
2000-03-16,4.2373
2000-03-17,-6.7073
2000-03-20,1.5251000000000001
2000-03-21,-0.4292
2000-03-22,0.6466
2000-03-23,-2.1413
2000-03-24,-3.0635
2000-03-27,3.6117
2000-03-28,-0.6536
2000-03-29,3.5088
2000-03-30,-0.0763
2000-04-03,-4.2463
2000-04-04,6.4302
2000-04-05,-0.2083
2000-04-06,2.2965
2000-04-07,0.8163
2000-04-10,-0.4049
2000-04-11,-1.4228
2000-04-12,0.0
2000-04-13,0.0
2000-04-14,-3.299
2000-04-17,2.3454
2000-04-18,1.875
2000-04-19,-0.409
2000-04-20,3.0801
2000-04-24,0.3984
2000-04-25,4.1667
2000-04-26,-0.7619
2000-04-27,1.5354999999999999
2000-04-28,0.9452
2000-05-01,1.8727
2000-05-02,-1.1029
2000-05-03,-0.7435
2000-05-04,0.5618
2000-05-05,0.0
2000-05-08,1.3035
2000-05-09,0.1838
2000-05-10,0.5505
2000-05-11,2.7372
2000-05-12,2.3091
2000-05-15,-1.9097
2000-05-16,-1.7699
2000-05-17,-1.4414
2000-05-18,-1.2797
2000-05-19,2.037
2000-05-22,-0.363
2000-05-23,0.9107
