ticker,DUC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.7027
2000-01-04,2.1053
2000-01-05,3.0928
2000-01-06,1.5
2000-01-07,-1.4778
2000-01-10,-1.0
2000-01-11,1.5152
2000-01-12,0.7801
2000-01-13,-1.99
2000-01-14,0.5076
2000-01-18,-3.0303
2000-01-19,0.5208
2000-01-20,0.0
2000-01-21,-0.5181
2000-01-24,0.0
2000-01-25,0.5208
2000-01-26,-0.5181
2000-01-27,1.0417
2000-01-28,3.0928
2000-01-31,1.0
2000-02-01,0.0
2000-02-02,0.0
2000-02-03,2.9703
2000-02-04,-0.9615
2000-02-07,0.0
2000-02-08,-1.4563
2000-02-09,-0.4926
2000-02-10,-0.9901
2000-02-11,0.784
2000-02-14,-1.0
2000-02-15,-0.5051
2000-02-16,-1.5228000000000002
2000-02-17,0.5155
2000-02-18,-1.0256
2000-02-22,-2.0725
2000-02-23,1.0582
2000-02-24,0.0
2000-02-25,-0.5236
2000-02-28,-1.0526
2000-02-29,0.0
2000-03-01,-6.9149
2000-03-02,2.8571
2000-03-03,0.0
2000-03-06,-0.5556
2000-03-07,-0.5587
2000-03-08,0.5618
2000-03-09,0.0
2000-03-10,-0.5587
2000-03-13,1.8876
2000-03-14,-1.6667
2000-03-15,-0.565
2000-03-16,0.5682
2000-03-17,0.0
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,0.0
2000-03-23,0.565
2000-03-24,0.0
2000-03-27,0.5618
2000-03-28,-0.5587
2000-03-29,0.0
2000-03-30,-0.5618
2000-03-31,0.565
2000-04-03,1.6854
2000-04-04,1.6575
2000-04-05,1.087
2000-04-06,-1.6129
2000-04-07,-1.0929
2000-04-10,-0.5525
2000-04-11,0.0
2000-04-12,3.3333
2000-04-13,2.8817
2000-04-14,-1.0526
2000-04-17,-2.1277
2000-04-18,-1.087
2000-04-19,0.0
2000-04-20,1.6484
2000-04-24,-1.0811
2000-04-25,-0.5464
2000-04-26,0.5495
2000-04-27,0.0
2000-04-28,0.5464
2000-05-01,-1.6303999999999998
2000-05-02,-0.5525
2000-05-03,0.5556
2000-05-04,-1.105
2000-05-05,-0.5587
2000-05-08,0.0
2000-05-09,-0.5618
2000-05-10,-1.1299
2000-05-11,-0.3657
2000-05-12,1.7341
2000-05-15,-1.1364
2000-05-16,0.5747
2000-05-17,0.5714
2000-05-18,-1.7045
2000-05-19,-1.7341
2000-05-22,-0.5882
2000-05-23,0.5917
2000-05-24,0.5882
2000-05-25,0.5848
