ticker,ISL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.7353
2000-01-04,-2.963
2000-01-05,-4.9618
2000-01-06,0.0
2000-01-07,2.4096
2000-01-10,2.3529
2000-01-11,4.2146
2000-01-12,0.7353
2000-01-13,-1.4599
2000-01-14,2.2222
2000-01-18,2.1739
2000-01-19,0.0
2000-01-20,0.3546
2000-01-21,0.7067
2000-01-24,-0.7018
2000-01-25,-2.8269
2000-01-26,0.7273
2000-01-27,-4.3321
2000-01-28,-4.1509
2000-01-31,0.0
2000-02-01,1.9685000000000001
2000-02-02,1.5444
2000-02-03,2.6616
2000-02-04,0.0
2000-02-07,3.7037
2000-02-08,0.0
2000-02-09,-0.7143
2000-02-10,0.0
2000-02-11,-1.0791
2000-02-14,0.7273
2000-02-15,1.444
2000-02-16,2.1352
2000-02-17,0.3484
2000-02-18,0.0
2000-02-22,-1.3889
2000-02-23,1.0563
2000-02-24,0.3484
2000-02-25,0.0
2000-02-28,1.0417
2000-02-29,-0.6873
2000-03-01,1.0381
2000-03-02,0.0
2000-03-03,2.0548
2000-03-06,-2.349
2000-03-07,0.3436
2000-03-08,0.3425
2000-03-09,1.7065000000000001
2000-03-10,0.6711
2000-03-13,-4.3333
2000-03-14,-1.7422
2000-03-15,-1.7730000000000001
2000-03-16,2.1661
2000-03-17,1.0601
2000-03-20,-0.6993
2000-03-21,0.0
2000-03-22,-0.7042
2000-03-23,-1.4184
2000-03-24,-0.7194
2000-03-27,0.7246
2000-03-28,1.7986
2000-03-29,-1.4134
2000-03-30,-5.3763
2000-03-31,1.8939
2000-04-03,-1.8587
2000-04-04,-3.0303
2000-04-05,-3.125
2000-04-06,3.629
2000-04-07,3.5019
2000-04-10,1.1278
2000-04-11,-1.1152
2000-04-12,-2.2556
2000-04-13,-1.9231
2000-04-14,-0.7843
2000-04-17,-1.9763
2000-04-18,2.0161
2000-04-19,-1.581
2000-04-20,0.8032
2000-04-24,0.3984
2000-04-25,0.3968
2000-04-26,-1.1858
2000-04-27,1.6
2000-04-28,-0.3937
2000-05-01,0.0
2000-05-02,-0.3953
2000-05-03,-1.5873
2000-05-04,1.6129
2000-05-05,-0.7937
2000-05-08,2.8
2000-05-09,-0.7782
2000-05-10,-4.7059
2000-05-11,2.4691
2000-05-12,0.8032
2000-05-15,0.0
2000-05-16,1.5936
2000-05-17,-0.3922
2000-05-18,2.3622
2000-05-19,-0.7692
2000-05-22,-0.7752
2000-05-23,-2.7344
2000-05-24,-1.2048
