ticker,USW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.7778
2000-01-04,-4.9107
2000-01-05,-0.2817
2000-01-06,-1.0772
2000-01-07,1.5354999999999999
2000-01-10,0.4726
2000-01-11,-0.0941
2000-01-12,-0.7533
2000-01-13,2.4668
2000-01-14,4.0741
2000-01-18,0.7117
2000-01-19,-0.9717
2000-01-20,-1.5165
2000-01-21,-0.3623
2000-01-24,-1.9091
2000-01-25,-1.0195
2000-01-26,0.2107
2000-01-27,-1.1446
2000-01-28,-1.3233
2000-01-31,2.2989
2000-02-01,3.3708
2000-02-02,0.9058
2000-02-03,1.4363000000000001
2000-02-04,0.4425
2000-02-07,0.0881
2000-02-08,3.169
2000-02-09,0.5119
2000-02-10,0.2547
2000-02-11,-0.508
2000-02-14,1.0213
2000-02-15,1.6848999999999998
2000-02-16,-0.9114
2000-02-17,3.5117000000000003
2000-02-18,0.3231
2000-02-22,-2.5765000000000002
2000-02-23,-0.2479
2000-02-24,-1.3256000000000001
2000-02-25,-0.5038
2000-02-28,-2.9536
2000-02-29,1.0435
2000-03-01,8.778
2000-03-02,-8.8608
2000-03-03,4.3403
2000-03-06,-0.3328
2000-03-07,-9.015
2000-03-08,2.2018
2000-03-09,9.8743
2000-03-10,-8.0065
2000-03-13,-5.8615
2000-03-14,0.8491
2000-03-15,2.8064
2000-03-16,2.2748
2000-03-17,-0.3559
2000-03-20,0.8036
2000-03-21,-0.1771
2000-03-22,-4.614
2000-03-23,3.1628
2000-03-24,-1.8936
2000-03-27,6.0662
2000-03-28,2.1664
2000-03-29,0.933
2000-03-30,-2.1008
2000-03-31,-0.2575
2000-04-03,-1.8933
2000-04-04,-1.5789
2000-04-05,-0.4456
2000-04-06,2.0197
2000-04-07,-0.2653
2000-04-10,0.3546
2000-04-11,0.1767
2000-04-12,-2.5573
2000-04-13,-2.1719
2000-04-14,-2.3127
2000-04-17,1.5152
2000-04-18,3.2649
2000-04-19,0.9937
2000-04-20,0.1789
2000-04-24,-1.9643000000000002
2000-04-25,5.0091
2000-04-26,1.5611000000000002
2000-04-27,-3.2451
2000-04-28,0.6178
2000-05-01,2.2807
2000-05-02,-1.8868
2000-05-03,-3.5839
2000-05-04,0.476
2000-05-05,2.8593
2000-05-08,3.0758
2000-05-09,-2.4202
2000-05-10,0.4742
2000-05-11,3.2118
2000-05-12,3.2801
2000-05-15,0.3257
2000-05-16,-0.4058
2000-05-17,-0.163
2000-05-18,-0.4694
2000-05-19,-5.6797
2000-05-22,-1.6522000000000001
2000-05-23,-2.2989
2000-05-24,0.905
2000-05-25,2.6906
2000-05-26,-1.2227000000000001
2000-05-30,1.3263
2000-05-31,0.5236
2000-06-01,1.3889
2000-06-02,4.2808
2000-06-05,-2.3810000000000002
2000-06-06,2.1867
2000-06-07,0.1646
2000-06-08,4.355
2000-06-09,0.5512
2000-06-12,0.4209
2000-06-13,5.3514
2000-06-14,0.0
2000-06-15,-2.4426
2000-06-16,1.5507
2000-06-19,2.4328
2000-06-20,-0.5106
2000-06-21,4.912
2000-06-22,-3.2843999999999998
2000-06-23,2.9986
2000-06-26,2.1396
2000-06-27,-4.6703
2000-06-28,-3.5213
2000-06-29,-1.8014999999999999
2000-06-30,4.3407
