ticker,BA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0166
2000-01-04,-0.1555
2000-01-05,6.2305
2000-01-06,1.0264
2000-01-07,2.9028
2000-01-10,-1.4104
2000-01-11,-1.8598
2000-01-12,0.4373
2000-01-13,-1.5965
2000-01-14,3.8348
2000-01-18,2.2727
2000-01-19,5.8333
2000-01-20,-2.3622
2000-01-21,-1.7473
2000-01-24,-3.0096
2000-01-25,3.103
2000-01-26,1.0944
2000-01-27,-2.4356999999999998
2000-01-28,-0.9709
2000-01-31,-0.2801
2000-02-01,-1.6854
2000-02-02,2.0
2000-02-03,-2.6611000000000002
2000-02-04,1.295
2000-02-07,-4.9716000000000005
2000-02-08,-1.9432
2000-02-09,-4.5366
2000-02-10,1.9231
2000-02-11,0.3145
2000-02-14,-4.0752
2000-02-15,0.6536
2000-02-16,-3.2468
2000-02-17,0.6711
2000-02-18,-4.0
2000-02-22,7.9861
2000-02-23,-4.5016
2000-02-24,-1.5152
2000-02-25,3.4188
2000-02-28,-2.1488
2000-02-29,-0.1689
2000-03-01,-1.692
2000-03-02,-1.0327
2000-03-03,0.0
2000-03-06,-2.2609
2000-03-07,-1.0676
2000-03-08,-3.9568
2000-03-09,1.1236
2000-03-10,-4.0741
2000-03-13,0.7722
2000-03-14,1.341
2000-03-15,5.482
2000-03-16,2.1505
2000-03-17,6.6667
2000-03-20,-2.6316
2000-03-21,-1.1824
2000-03-22,-0.8547
2000-03-23,-3.1034
2000-03-24,2.4911
2000-03-27,3.125
2000-03-28,2.3569
2000-03-29,-0.3289
2000-03-30,1.9802
2000-03-31,-2.1036
2000-04-03,-1.6529
2000-04-04,0.3361
2000-04-05,-3.3501
2000-04-06,0.1733
2000-04-07,-1.2111
2000-04-10,-1.7513
2000-04-11,1.7825
2000-04-12,5.4291
2000-04-13,-1.6611
2000-04-14,-4.3919
2000-04-17,-0.1767
2000-04-18,-1.5929
2000-04-19,7.1942
2000-04-20,7.5503
2000-04-24,-5.4602
2000-04-25,2.9703
2000-04-26,2.4038
2000-04-27,-0.313
2000-04-28,-0.314
2000-05-01,-1.5748
2000-05-02,-2.88
2000-05-03,-1.6474
2000-05-04,2.3451
2000-05-05,3.437
2000-05-08,-3.1646
2000-05-09,0.1634
2000-05-10,-3.3866
2000-05-11,1.1864
2000-05-12,-0.335
2000-05-15,0.0
2000-05-16,0.5042
2000-05-17,0.0
2000-05-18,0.6689
2000-05-19,-1.8272
2000-05-22,-1.0152
2000-05-23,1.5385
