ticker,AIR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.0906
2000-01-04,0.3559
2000-01-05,1.0638
2000-01-06,0.7018
2000-01-07,3.4843
2000-01-10,-2.3569
2000-01-11,-0.3448
2000-01-12,19.3772
2000-01-13,-0.8696
2000-01-14,-0.2924
2000-01-18,-6.1584
2000-01-19,-0.3125
2000-01-20,0.3135
2000-01-21,-4.6875
2000-01-24,-2.623
2000-01-25,-1.3468
2000-01-26,1.3652
2000-01-27,1.8047
2000-01-28,-0.9967
2000-01-31,-5.0336
2000-02-01,-0.3534
2000-02-02,4.6099
2000-02-03,1.0169
2000-02-04,0.6711
2000-02-07,0.0
2000-02-08,1.6667
2000-02-09,-0.6557
2000-02-10,-1.6502
2000-02-11,0.0
2000-02-14,16.7785
2000-02-15,2.5862
2000-02-16,3.6414999999999997
2000-02-17,16.2162
2000-02-18,-8.8372
2000-02-22,-4.0816
2000-02-23,-0.7979
2000-02-24,-1.0724
2000-02-25,-0.271
2000-02-28,-1.9022000000000001
2000-02-29,5.2632
2000-03-01,-0.5263
2000-03-02,-2.6455
2000-03-03,-5.4348
2000-03-06,2.5862
2000-03-07,-3.6414999999999997
2000-03-08,-4.3605
2000-03-09,2.7356
2000-03-10,-0.2959
2000-03-13,-1.7804
2000-03-14,3.6254
2000-03-15,7.2886
2000-03-16,0.2717
2000-03-17,0.813
2000-03-20,1.0753
2000-03-21,-12.766
2000-03-22,-9.4512
2000-03-23,-0.6734
2000-03-24,-6.4407
2000-03-27,-1.087
2000-03-28,-0.3663
2000-03-29,4.4118
2000-03-30,-4.2254
2000-03-31,-1.8382
2000-04-03,-0.7491
2000-04-04,-3.0189
2000-04-05,1.5564
2000-04-06,2.682
2000-04-07,2.2388
2000-04-10,-3.2847
2000-04-11,0.7547
2000-04-12,-0.3745
2000-04-13,-1.1278
2000-04-14,-1.1407
2000-04-17,0.7692
2000-04-18,-2.2901
2000-04-19,-1.1719
2000-04-20,3.5573
2000-04-24,-3.8167999999999997
2000-04-25,7.5397
2000-04-26,-6.6421
2000-04-27,-1.9763
2000-04-28,-2.2742
2000-05-01,2.9046
2000-05-02,-1.6129
2000-05-03,0.4098
2000-05-04,1.6327
2000-05-05,-2.4096
2000-05-08,-5.7613
2000-05-09,3.4934
2000-05-10,-1.6878
2000-05-11,2.1459
2000-05-12,-1.6806999999999999
2000-05-15,1.7094
2000-05-16,2.521
2000-05-17,-2.459
2000-05-18,0.0
2000-05-19,0.4202
2000-05-22,-5.8577
