ticker,CBM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.6298
2000-01-04,-3.5782
2000-01-05,-0.5859
2000-01-06,3.1434
2000-01-07,0.5714
2000-01-10,-1.1364
2000-01-11,0.3831
2000-01-12,0.0
2000-01-13,3.626
2000-01-14,0.0
2000-01-18,-0.9208
2000-01-19,3.3457
2000-01-20,3.5971
2000-01-21,-1.0417
2000-01-24,-3.3333
2000-01-25,-1.4519
2000-01-26,4.7882
2000-01-27,4.0422
2000-01-28,4.7297
2000-01-31,-3.2258
2000-02-01,2.6667
2000-02-02,-2.4351
2000-02-03,-0.9983
2000-02-04,-0.5042
2000-02-07,0.3378
2000-02-08,-1.6835
2000-02-09,1.1096
2000-02-10,0.5085
2000-02-11,-0.1686
2000-02-14,4.223
2000-02-15,-0.4862
2000-02-16,-0.9772
2000-02-17,7.0724
2000-02-18,0.768
2000-02-22,1.3719999999999999
2000-02-23,-5.1128
2000-02-24,1.5848
2000-02-25,-1.4041000000000001
2000-02-28,1.8987
2000-02-29,-0.3106
2000-03-01,0.9346
2000-03-02,0.1543
2000-03-03,0.0
2000-03-06,-2.4653
2000-03-07,-3.3175
2000-03-08,-4.085
2000-03-09,1.1925
2000-03-10,-2.1886
2000-03-13,-0.3442
2000-03-14,0.8636
2000-03-15,-0.5137
2000-03-16,5.3356
2000-03-17,1.9607999999999999
2000-03-20,3.5256
2000-03-21,-0.3096
2000-03-22,3.1056
2000-03-23,3.6145
2000-03-24,-1.5988
2000-03-27,0.4431
2000-03-28,-2.0588
2000-03-29,-0.4505
2000-03-30,-1.0558
2000-03-31,6.0976
2000-04-03,-3.4483
2000-04-04,-0.744
2000-04-05,-1.3493
2000-04-06,1.3678
2000-04-07,3.8981
2000-04-10,-1.2987
2000-04-11,0.0
2000-04-12,-1.7544
2000-04-13,-1.7856999999999998
2000-04-14,-5.4545
2000-04-17,5.1282
2000-04-18,-4.878
2000-04-19,1.6026
2000-04-20,-0.3155
2000-04-24,-4.1139
2000-04-25,1.8152
2000-04-26,0.4862
2000-04-27,4.5161
2000-04-28,1.2346
2000-05-01,0.6098
2000-05-02,-2.4242
2000-05-03,-1.8634
2000-05-04,0.1582
2000-05-05,1.4218
2000-05-08,-0.7788
2000-05-09,-0.471
2000-05-10,-0.2397
2000-05-11,2.8481
2000-05-12,-0.7692
2000-05-15,3.1008
2000-05-16,-1.8045
2000-05-17,-1.5314
2000-05-18,0.7776
2000-05-19,-0.463
2000-05-22,0.0
2000-05-23,1.7054
