ticker,DEL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.8571
2000-01-04,-2.0173
2000-01-05,-1.4706000000000001
2000-01-06,-3.2836
2000-01-07,0.3086
2000-01-10,-0.3077
2000-01-11,-3.3951000000000002
2000-01-12,4.1534
2000-01-13,0.9202
2000-01-14,2.7356
2000-01-18,-0.5917
2000-01-19,4.4643
2000-01-20,2.849
2000-01-21,0.0
2000-01-24,3.6010999999999997
2000-01-25,1.6042999999999998
2000-01-26,-1.5789
2000-01-27,-1.3369
2000-01-28,-3.523
2000-01-31,1.1236
2000-02-01,-1.3889
2000-02-02,0.2817
2000-02-03,0.2809
2000-02-04,1.4006
2000-02-07,-0.2762
2000-02-08,0.0
2000-02-09,-1.108
2000-02-10,-3.9215999999999998
2000-02-11,0.2915
2000-02-14,0.5814
2000-02-15,1.1561
2000-02-16,0.2857
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,-1.4245
2000-02-23,6.3584
2000-02-24,-3.5326
2000-02-25,-0.2817
2000-02-28,-0.2825
2000-02-29,1.1364
2000-03-01,-1.1236
2000-03-02,-0.2841
2000-03-03,0.8547
2000-03-06,-0.2825
2000-03-07,-3.3994
2000-03-08,0.5865
2000-03-09,0.8746
2000-03-10,1.1561
2000-03-13,0.5714
2000-03-14,-0.2841
2000-03-15,0.0
2000-03-16,0.2849
2000-03-17,1.4205
2000-03-20,1.9607999999999999
2000-03-21,4.3956
2000-03-22,1.0526
2000-03-23,-0.2604
2000-03-24,-1.0444
2000-03-27,-0.5277
2000-03-28,-3.4483
2000-03-29,-0.2747
2000-03-30,-1.3774
2000-03-31,5.8659
2000-04-03,-2.9024
2000-04-04,-1.9022000000000001
2000-04-05,0.277
2000-04-06,0.2762
2000-04-07,-1.1019
2000-04-10,-0.2786
2000-04-11,-0.5587
2000-04-12,-1.1236
2000-04-13,-1.1364
2000-04-14,-2.0115
2000-04-17,0.8798
2000-04-18,2.0349
2000-04-19,-1.4245
2000-04-20,-1.1561
2000-04-24,-4.6784
2000-04-25,5.2147
2000-04-26,1.1662
2000-04-27,0.8646
2000-04-28,0.5714
2000-05-01,3.6932
2000-05-02,-1.3699
2000-05-03,-1.9444
2000-05-04,-0.8499
2000-05-05,0.0
2000-05-08,-1.1429
2000-05-09,1.4451
2000-05-10,0.5698
2000-05-11,0.5666
2000-05-12,-0.5634
2000-05-15,-0.5666
2000-05-16,-1.4245
2000-05-17,0.289
2000-05-18,-0.8646
2000-05-19,-0.8721
