ticker,LFB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,6.5789
2000-01-04,-6.1728
2000-01-05,8.3333
2000-01-06,-1.2146
2000-01-07,7.377
2000-01-10,-2.2901
2000-01-11,0.0
2000-01-12,-3.9063
2000-01-13,4.065
2000-01-14,-5.0781
2000-01-18,-2.8807
2000-01-19,-1.6949
2000-01-20,3.8792999999999997
2000-01-21,0.8299
2000-01-24,-6.9959
2000-01-25,-1.3274
2000-01-26,1.7936999999999999
2000-01-27,0.0
2000-01-28,1.3216
2000-01-31,-0.4348
2000-02-01,-1.31
2000-02-02,3.9823
2000-02-03,0.4255
2000-02-04,-2.5423999999999998
2000-02-07,-3.4783
2000-02-08,0.4505
2000-02-09,-2.6906
2000-02-10,0.0
2000-02-11,-4.6083
2000-02-14,-4.3478
2000-02-15,7.5758
2000-02-16,-0.939
2000-02-17,6.6350999999999996
2000-02-18,-9.3333
2000-02-22,5.8824
2000-02-23,-1.3889
2000-02-24,-2.3474
2000-02-25,1.4423
2000-02-28,-1.4218
2000-02-29,4.8077
2000-03-01,-4.1284
2000-03-02,1.4354
2000-03-03,-0.4717
2000-03-06,-1.4218
2000-03-07,-1.9231
2000-03-08,2.9412000000000003
2000-03-09,-1.4285999999999999
2000-03-10,3.8647
2000-03-13,-2.7907
2000-03-14,-1.9139
2000-03-15,2.9268
2000-03-16,11.3744
2000-03-17,-5.9574
2000-03-20,3.6199
2000-03-21,-2.1834
2000-03-22,-1.8214000000000001
2000-03-23,1.8349
2000-03-24,-2.2523
2000-03-27,-5.53
2000-03-28,0.9756
2000-03-29,2.4154999999999998
2000-03-30,5.1887
2000-03-31,5.8296
2000-04-03,-2.5423999999999998
2000-04-04,-1.3043
2000-04-05,-3.5242
2000-04-06,1.3699
2000-04-07,-1.8018
2000-04-10,0.4587
2000-04-11,5.9361
2000-04-12,-2.1552
2000-04-13,-2.6432
2000-04-14,-3.1673999999999998
2000-04-17,-3.271
2000-04-18,-1.9324
2000-04-19,0.9852
2000-04-20,0.4878
2000-04-24,-0.4854
2000-04-25,0.9756
2000-04-26,-2.4154999999999998
2000-04-27,0.495
2000-04-28,0.4926
2000-05-01,1.9607999999999999
2000-05-02,-1.4423
2000-05-03,0.4878
2000-05-04,0.4854
2000-05-05,2.8986
2000-05-08,-3.7559
2000-05-09,-0.4878
2000-05-10,-0.9804
2000-05-11,1.4851
2000-05-12,0.4878
2000-05-15,2.4272
2000-05-16,0.9479
2000-05-17,-1.8779
2000-05-18,-1.9139
