ticker,BRL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.3944
2000-01-04,-4.9116
2000-01-05,2.0661
2000-01-06,0.2024
2000-01-07,1.0101
2000-01-10,0.0
2000-01-11,3.2
2000-01-12,2.5194
2000-01-13,12.8544
2000-01-14,0.0
2000-01-18,3.5176
2000-01-19,0.9709
2000-01-20,0.0
2000-01-21,-1.1218
2000-01-24,-0.9724
2000-01-25,-1.4729999999999999
2000-01-26,0.9967
2000-01-27,6.25
2000-01-28,-1.2384
2000-01-31,0.1567
2000-02-01,0.0
2000-02-02,0.313
2000-02-03,-0.156
2000-02-04,0.3125
2000-02-07,3.8941
2000-02-08,1.9489999999999998
2000-02-09,-2.5
2000-02-10,0.1508
2000-02-11,-0.3012
2000-02-14,4.9849
2000-02-15,0.4317
2000-02-16,1.1461000000000001
2000-02-17,-0.5666
2000-02-18,0.2849
2000-02-22,-0.5682
2000-02-23,4.7143
2000-02-24,3.5471
2000-02-25,3.6891
2000-02-28,1.3977
2000-02-29,-4.5113
2000-03-01,-0.5249
2000-03-02,-7.9155999999999995
2000-03-03,4.8711
2000-03-06,-3.6885
2000-03-07,0.0
2000-03-08,0.5674
2000-03-09,-1.6925
2000-03-10,0.4304
2000-03-13,-2.2857
2000-03-14,-0.731
2000-03-15,3.5346
2000-03-16,6.2589
2000-03-17,-0.4016
2000-03-20,-1.0753
2000-03-21,1.087
2000-03-22,0.0
2000-03-23,0.8065
2000-03-24,-0.1333
2000-03-27,-5.6075
2000-03-28,-3.5361000000000002
2000-03-29,-2.1994
2000-03-30,-6.7466
2000-03-31,8.0386
2000-04-03,2.2321
2000-04-04,-2.4745
2000-04-05,3.8806000000000003
2000-04-06,3.3045999999999998
2000-04-07,-0.4172
2000-04-10,-2.7933
2000-04-11,-1.7241
2000-04-12,3.0702
2000-04-13,-1.1348
2000-04-14,-7.1736
2000-04-17,-2.7821
2000-04-18,9.539
2000-04-19,0.0
2000-04-20,-3.6284
2000-04-24,2.1084
2000-04-25,8.5546
2000-04-26,-6.3859
2000-04-27,-2.4673
2000-04-28,2.8274
2000-05-01,7.9595
2000-05-02,-0.9383
2000-05-03,-2.1651
2000-05-04,7.8838
2000-05-05,1.4102999999999999
2000-05-08,-4.9305
2000-05-09,-1.1968
2000-05-10,-1.3458999999999999
2000-05-11,-1.9100000000000001
2000-05-12,0.6954
2000-05-15,2.4862
2000-05-16,-2.1563
2000-05-17,-0.9642
2000-05-18,0.6954
2000-05-19,-1.2431
