ticker,LFGRQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.3605
2000-01-04,-4.1379
2000-01-05,-4.3165
2000-01-06,-1.8797000000000001
2000-01-07,1.9157
2000-01-10,-0.3759
2000-01-11,3.3962
2000-01-12,-2.1898
2000-01-13,0.7463
2000-01-14,0.0
2000-01-18,3.3333
2000-01-19,2.8674
2000-01-20,-3.4843
2000-01-21,-2.1661
2000-01-24,-0.738
2000-01-25,-0.3717
2000-01-26,0.7463
2000-01-27,9.6296
2000-01-28,1.3514
2000-01-31,-5.0
2000-02-01,2.807
2000-02-02,3.0717
2000-02-03,7.2848
2000-02-04,-3.3951000000000002
2000-02-07,-0.3195
2000-02-08,3.2051
2000-02-09,3.1056
2000-02-10,-3.012
2000-02-11,-0.6211
2000-02-14,-4.375
2000-02-15,3.268
2000-02-16,0.0
2000-02-17,3.7975
2000-02-18,-3.6585
2000-02-22,-1.8987
2000-02-23,0.0
2000-02-24,-2.5806
2000-02-25,-4.9669
2000-02-28,-3.5540000000000003
2000-02-29,4.3478
2000-03-01,1.3889
2000-03-02,6.8493
2000-03-03,5.1282
2000-03-06,6.4024
2000-03-07,-2.8653
2000-03-08,-6.4897
2000-03-09,4.1009
2000-03-10,-3.6364
2000-03-13,-3.4591
2000-03-14,-4.2345
2000-03-15,-0.3401
2000-03-16,3.7542999999999997
2000-03-17,0.9868
2000-03-20,-2.2801
2000-03-21,11.3333
2000-03-22,-1.7964
2000-03-23,-1.8293
2000-03-24,-2.4845
2000-03-27,-1.2739
2000-03-28,-0.9677
2000-03-29,0.0
2000-03-30,-0.6515
2000-03-31,1.6393
2000-04-03,0.0
2000-04-04,-3.2258
2000-04-05,0.0
2000-04-06,3.0
2000-04-07,-1.6181
2000-04-10,-3.6184
2000-04-11,-2.3891
2000-04-12,0.3497
2000-04-13,-0.6969
2000-04-14,0.0
2000-04-17,-1.0526
2000-04-18,0.7092
2000-04-19,0.7042
2000-04-20,-2.0979
2000-04-24,0.0
2000-04-25,1.4285999999999999
2000-04-26,-2.4648
2000-04-27,-1.8051
2000-04-28,3.6765
2000-05-01,0.0
2000-05-02,-3.9007
2000-05-03,-4.059
2000-05-04,-0.3846
2000-05-05,1.1583
2000-05-08,2.2901
2000-05-09,0.3731
2000-05-10,2.2305
2000-05-11,6.9091000000000005
2000-05-12,3.4013999999999998
2000-05-15,2.3026
2000-05-16,2.5723000000000003
2000-05-17,0.627
2000-05-18,-1.5575999999999999
2000-05-19,-2.5316
