ticker,DUK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7406
2000-01-04,1.5544
2000-01-05,4.0816
2000-01-06,2.6961
2000-01-07,2.6253
2000-01-10,-0.1163
2000-01-11,-1.2806
2000-01-12,1.1792
2000-01-13,0.8159
2000-01-14,0.6936
2000-01-18,-1.6073
2000-01-19,2.8005
2000-01-20,1.3620999999999999
2000-01-21,1.2318
2000-01-24,1.3274
2000-01-25,-0.3275
2000-01-26,0.4381
2000-01-27,0.9815
2000-01-28,-1.5119
2000-01-31,1.3158
2000-02-01,-0.3247
2000-02-02,-1.7372
2000-02-03,-0.7735
2000-02-04,-4.1203
2000-02-07,-1.3937
2000-02-08,0.9423
2000-02-09,-2.007
2000-02-10,-1.5644
2000-02-11,0.1222
2000-02-14,0.6105
2000-02-15,-1.335
2000-02-16,0.615
2000-02-17,0.978
2000-02-18,0.1211
2000-02-22,-2.0556
2000-02-23,-1.7284000000000002
2000-02-24,-2.7638
2000-02-25,-2.0672
2000-02-28,2.2427
2000-02-29,0.129
2000-03-01,-0.9021
2000-03-02,0.13
2000-03-03,2.5974
2000-03-06,-0.5063
2000-03-07,-2.4173
2000-03-08,-0.6519
2000-03-09,-0.3937
2000-03-10,-2.2398
2000-03-13,0.2695
2000-03-14,0.8065
2000-03-15,5.4667
2000-03-16,4.5512
2000-03-17,-2.7811
2000-03-20,-1.99
2000-03-21,-0.7614
2000-03-22,-0.8951
2000-03-23,2.1935000000000002
2000-03-24,1.0101
2000-03-27,1.875
2000-03-28,-1.5951
2000-03-29,2.8678
2000-03-30,0.3636
2000-03-31,1.4493
2000-04-03,2.8571
2000-04-04,4.1667
2000-04-05,-4.2222
2000-04-06,-1.9722
2000-04-07,-0.9467
2000-04-10,3.3453
2000-04-11,2.0809
2000-04-12,2.265
2000-04-13,1.6611
2000-04-14,-0.9804
2000-04-17,-2.2002
2000-04-18,-2.5872
2000-04-19,1.5011999999999999
2000-04-20,2.8441
2000-04-24,2.2124
2000-04-25,1.4069
2000-04-26,1.7076
2000-04-27,-1.3641
2000-04-28,-2.1277
2000-05-01,1.7391
2000-05-02,-2.9915000000000003
2000-05-03,0.2203
2000-05-04,1.8681
2000-05-05,-0.2157
2000-05-08,1.4054
2000-05-09,0.6397
2000-05-10,3.6864
2000-05-11,2.9897
2000-05-12,-2.5651
2000-05-15,1.3998
2000-05-16,-2.8369
2000-05-17,-1.3556
2000-05-18,1.1628
2000-05-19,2.7168
2000-05-22,1.7294
