ticker,LDL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,8.4906
2000-01-04,-4.3478
2000-01-05,9.0909
2000-01-06,-4.1667
2000-01-07,-3.4783
2000-01-10,5.4054
2000-01-11,0.8547
2000-01-12,-1.6949
2000-01-13,1.7241
2000-01-14,-3.3898
2000-01-18,1.7544
2000-01-19,-0.8621
2000-01-20,4.3478
2000-01-21,-1.6667
2000-01-24,0.8475
2000-01-25,-1.6806999999999999
2000-01-26,2.5641
2000-01-27,-0.8333
2000-01-28,-0.8403
2000-01-31,1.6949
2000-02-01,0.0
2000-02-02,0.0
2000-02-03,3.3333
2000-02-04,1.6129
2000-02-07,-1.5873
2000-02-08,0.8065
2000-02-09,-0.8
2000-02-10,-3.2258
2000-02-11,-2.5
2000-02-14,0.8547
2000-02-15,1.6949
2000-02-16,-2.5
2000-02-17,5.1282
2000-02-18,0.0
2000-02-22,-1.626
2000-02-23,-1.6529
2000-02-24,-6.7227
2000-02-25,-2.7027
2000-02-28,-1.8519
2000-02-29,6.6038
2000-03-01,8.8496
2000-03-02,1.626
2000-03-03,-4.0
2000-03-06,-1.6667
2000-03-07,0.0
2000-03-08,-5.0847
2000-03-09,0.8929
2000-03-10,0.0
2000-03-13,4.4248
2000-03-14,0.8475
2000-03-15,-1.6806999999999999
2000-03-16,5.9829
2000-03-17,2.4194
2000-03-20,5.5118
2000-03-21,5.2239
2000-03-22,-7.0922
2000-03-23,0.7634
2000-03-24,-3.0303
2000-03-27,0.7813
2000-03-28,2.3256
2000-03-29,-0.7576
2000-03-30,0.0
2000-03-31,6.8702
2000-04-03,2.8571
2000-04-04,3.4722
2000-04-05,-0.6711
2000-04-06,-2.027
2000-04-07,-2.069
2000-04-10,2.1127
2000-04-11,-1.3793
2000-04-12,-0.6993
2000-04-13,-3.5211
2000-04-14,-3.6496
2000-04-17,-3.0303
2000-04-18,3.9063
2000-04-19,-0.7519
2000-04-20,3.0303
2000-04-24,-2.2059
2000-04-25,0.7519
2000-04-26,2.9851
2000-04-27,-0.7246
2000-04-28,3.6496
2000-05-01,4.9296
2000-05-02,-2.0134
2000-05-03,0.0
2000-05-04,-0.6849
2000-05-05,10.3448
2000-05-08,1.875
2000-05-09,-4.2945
2000-05-10,-5.1282
2000-05-11,0.0
2000-05-12,4.0541
2000-05-15,5.8442
2000-05-16,-0.6135
2000-05-17,-3.7037
2000-05-18,1.2821
2000-05-19,2.5316
2000-05-22,1.2346
2000-05-23,0.0
2000-05-24,0.0
