ticker,LAB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,5.3922
2000-01-04,1.8605
2000-01-05,3.1963
2000-01-06,-2.6549
2000-01-07,-5.4545
2000-01-10,4.3269
2000-01-11,-0.9217
2000-01-12,0.4651
2000-01-13,1.8519
2000-01-14,1.8182
2000-01-18,4.9107
2000-01-19,-4.6809
2000-01-20,4.9107
2000-01-21,2.9787
2000-01-24,1.6529
2000-01-25,-6.5041
2000-01-26,-1.7391
2000-01-27,-1.7699
2000-01-28,-2.7027
2000-01-31,1.8519
2000-02-01,3.6364
2000-02-02,-0.4386
2000-02-03,-0.4405
2000-02-04,-1.3274
2000-02-07,-0.8969
2000-02-08,-4.9774
2000-02-09,0.4762
2000-02-10,0.0
2000-02-11,0.0
2000-02-14,-1.4218
2000-02-15,-4.3269
2000-02-16,-5.0251
2000-02-17,1.0582
2000-02-18,1.0471
2000-02-22,-1.5544
2000-02-23,-4.7368
2000-02-24,0.5525
2000-02-25,0.5495
2000-02-28,-0.5464
2000-02-29,6.5934
2000-03-01,3.0928
2000-03-02,0.5
2000-03-03,7.4627
2000-03-06,-0.463
2000-03-07,-5.1163
2000-03-08,0.4902
2000-03-09,0.4878
2000-03-10,5.8252
2000-03-13,2.7523
2000-03-14,-0.8929
2000-03-15,-1.3514
2000-03-16,-0.4566
2000-03-17,-0.9174
2000-03-20,0.0
2000-03-21,-3.7037
2000-03-22,3.8462
2000-03-23,3.7037
2000-03-24,0.0
2000-03-27,-0.4464
2000-03-28,-4.9327
2000-03-29,-0.4717
2000-03-30,-0.4739
2000-03-31,-3.3333
2000-04-03,1.4778
2000-04-04,-2.9126
2000-04-05,0.0
2000-04-06,3.0
2000-04-07,2.4272
2000-04-10,-0.4739
2000-04-11,-1.4285999999999999
2000-04-12,2.8986
2000-04-13,-2.3474
2000-04-14,-2.8846
2000-04-17,-4.4554
2000-04-18,-1.0363
2000-04-19,-0.5236
2000-04-20,0.5263
2000-04-24,-6.8063
2000-04-25,6.7416
2000-04-26,0.5263
2000-04-27,0.0
2000-04-28,0.0
2000-05-01,0.0
2000-05-02,-1.5707
2000-05-03,-0.5319
2000-05-04,2.6738
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,2.0833
2000-05-10,0.5102
2000-05-11,7.6142
2000-05-12,2.8302
2000-05-15,2.2936
2000-05-16,0.0
2000-05-17,-4.4843
2000-05-18,-5.1643
2000-05-19,-6.9307
2000-05-22,0.0
2000-05-23,0.0
2000-05-24,0.0
