ticker,SKO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.7935
2000-01-04,-4.9563
2000-01-05,0.9202
2000-01-06,4.5593
2000-01-07,0.5814
2000-01-10,-0.8671
2000-01-11,-2.3324
2000-01-12,0.597
2000-01-13,3.2641
2000-01-14,-1.1494
2000-01-18,-1.1628
2000-01-19,-2.3529
2000-01-20,-3.6145
2000-01-21,-3.4375
2000-01-24,-0.9709
2000-01-25,-4.902
2000-01-26,1.7182
2000-01-27,1.0135
2000-01-28,-0.3344
2000-01-31,-1.6779
2000-02-01,6.8259
2000-02-02,-2.2364
2000-02-03,3.9215999999999998
2000-02-04,0.3145
2000-02-07,-3.7618
2000-02-08,-1.3029
2000-02-09,-0.33
2000-02-10,-1.9868000000000001
2000-02-11,-1.0135
2000-02-14,2.7304
2000-02-15,-3.9867
2000-02-16,-2.4221
2000-02-17,-0.3546
2000-02-18,-2.1352
2000-02-22,0.3636
2000-02-23,-1.087
2000-02-24,-4.7619
2000-02-25,1.5385
2000-02-28,0.3788
2000-02-29,0.3774
2000-03-01,0.3759
2000-03-02,4.1199
2000-03-03,0.0
2000-03-06,1.4388
2000-03-07,-4.9645
2000-03-08,1.1194
2000-03-09,9.9631
2000-03-10,-4.698
2000-03-13,-1.7606000000000002
2000-03-14,-2.1505
2000-03-15,3.6630000000000003
2000-03-16,9.894
2000-03-17,-1.9293
2000-03-20,-0.3279
2000-03-21,0.0
2000-03-22,-0.3289
2000-03-23,-1.3201
2000-03-24,0.6689
2000-03-27,-0.9967
2000-03-28,-3.6913
2000-03-29,3.8327999999999998
2000-03-30,1.6779
2000-03-31,-6.2706
2000-04-03,5.6338
2000-04-04,-3.0
2000-04-05,9.9656
2000-04-06,3.75
2000-04-07,0.0
2000-04-10,-2.7108
2000-04-11,-3.096
2000-04-12,-0.9585
2000-04-13,-2.2580999999999998
2000-04-14,0.0
2000-04-17,-2.9703
2000-04-18,-2.3810000000000002
2000-04-19,2.439
2000-04-20,1.3605
2000-04-24,-3.3557
2000-04-25,1.3889
2000-04-26,-2.0548
2000-04-27,-1.7483
2000-04-28,1.7793999999999999
2000-05-01,-0.3497
2000-05-02,-0.7018
2000-05-03,-3.1802
2000-05-04,9.4891
2000-05-05,-0.3333
2000-05-08,-1.6722000000000001
2000-05-09,2.7211
2000-05-10,-0.6623
2000-05-11,2.3333
2000-05-12,3.5831
2000-05-15,5.6604
2000-05-16,-2.3810000000000002
2000-05-17,-2.439
2000-05-18,-2.5
