ticker,ENZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.3478
2000-01-04,-12.2159
2000-01-05,14.7249
2000-01-06,-2.3977
2000-01-07,4.0462
2000-01-10,1.6667
2000-01-11,-4.5082
2000-01-12,0.2861
2000-01-13,4.5649
2000-01-14,26.603
2000-01-18,27.1552
2000-01-19,1.3559
2000-01-20,19.3144
2000-01-21,36.7905
2000-01-24,-36.0143
2000-01-25,24.2594
2000-01-26,-0.7732
2000-01-27,-7.4675
2000-01-28,0.2105
2000-01-31,-3.5014
2000-02-01,1.8142
2000-02-02,-4.918
2000-02-03,-20.015
2000-02-04,3.4677
2000-02-07,-4.4384
2000-02-08,-3.8863
2000-02-09,-3.7475
2000-02-10,5.7377
2000-02-11,-6.7829
2000-02-14,-1.0395
2000-02-15,1.2605
2000-02-16,49.3776
2000-02-17,-8.4028
2000-02-18,-8.7187
2000-02-22,-0.7475
2000-02-23,7.4477
2000-02-24,-0.3115
2000-02-25,-0.625
2000-02-28,-5.0314
2000-02-29,4.9669
2000-03-01,2.918
2000-03-02,2.6054
2000-03-03,4.5556
2000-03-06,10.857099999999999
2000-03-07,-6.5077
2000-03-08,-1.4473
2000-03-09,3.7063
2000-03-10,-6.1362
2000-03-13,-4.5259
2000-03-14,-7.2987
2000-03-15,4.2208
2000-03-16,0.2336
2000-03-17,-1.3986
2000-03-20,-7.8014
2000-03-21,0.6838
2000-03-22,7.725
2000-03-23,-0.1576
2000-03-24,1.026
2000-03-27,0.625
2000-03-28,0.6211
2000-03-29,-9.8765
2000-03-30,-9.161
2000-03-31,4.8068
2000-04-03,-5.036
2000-04-04,-14.2045
2000-04-05,12.2517
2000-04-06,5.998
2000-04-07,-6.308
2000-04-10,-4.3564
2000-04-11,-14.4928
2000-04-12,-14.77
2000-04-13,0.7102
2000-04-14,-21.0155
2000-04-17,-5.5357
2000-04-18,15.3119
2000-04-19,-2.7869
2000-04-20,-4.8904
2000-04-24,-4.6099
2000-04-25,7.0632
2000-04-26,3.8194
2000-04-27,-3.3445
2000-04-28,13.4948
2000-05-01,9.1463
2000-05-02,-10.8939
2000-05-03,-7.21
2000-05-04,13.5135
2000-05-05,-1.9344999999999999
2000-05-08,-2.5797
2000-05-09,-5.7632
2000-05-10,-6.7769
2000-05-11,8.3333
2000-05-12,1.8003
2000-05-15,-2.09
2000-05-16,2.6273
2000-05-17,-2.24
2000-05-18,0.0
2000-05-19,-2.455
2000-05-22,-4.8658
2000-05-23,2.2928
