ticker,BAX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.2886
2000-01-04,-2.2403
2000-01-05,4.375
2000-01-06,2.0958
2000-01-07,5.6696
2000-01-10,-3.7927999999999997
2000-01-11,0.0
2000-01-12,-1.1538
2000-01-13,2.3346
2000-01-14,-3.0418
2000-01-18,-1.2745
2000-01-19,-0.1986
2000-01-20,-2.8856
2000-01-21,-0.4098
2000-01-24,-2.3663
2000-01-25,-2.2129
2000-01-26,0.0
2000-01-27,8.7284
2000-01-28,-0.5946
2000-01-31,1.8942999999999999
2000-02-01,-1.1742
2000-02-02,0.396
2000-02-03,0.1972
2000-02-04,0.0
2000-02-07,-0.689
2000-02-08,-0.1982
2000-02-09,-0.0993
2000-02-10,-3.6779
2000-02-11,-2.1672
2000-02-14,0.8439
2000-02-15,-1.046
2000-02-16,-2.1142
2000-02-17,-0.324
2000-02-18,-3.1419
2000-02-22,2.0134
2000-02-23,-0.5482
2000-02-24,-2.7563
2000-02-25,-1.7006999999999999
2000-02-28,1.2687
2000-02-29,-0.6834
2000-03-01,2.867
2000-03-02,1.3378
2000-03-03,-0.33
2000-03-06,-3.9735
2000-03-07,-4.7126
2000-03-08,4.4632
2000-03-09,3.0023
2000-03-10,0.5605
2000-03-13,-4.1249
2000-03-14,0.4651
2000-03-15,9.1435
2000-03-16,5.8324
2000-03-17,-1.002
2000-03-20,-0.1012
2000-03-21,1.925
2000-03-22,-0.1988
2000-03-23,1.8923999999999999
2000-03-24,-3.8123
2000-03-27,-2.0896
2000-03-28,0.1621
2000-03-29,-0.1036
2000-03-30,2.0747
2000-03-31,1.9308999999999998
2000-04-03,3.7539
2000-04-04,-0.201
2000-04-05,-0.3021
2000-04-06,-3.0303
2000-04-07,-0.9375
2000-04-10,1.9979
2000-04-11,1.7526000000000002
2000-04-12,-1.2158
2000-04-13,-1.4359
2000-04-14,-5.8273
2000-04-17,-0.221
2000-04-18,2.5471
2000-04-19,0.6479
2000-04-20,2.6824
2000-04-24,3.6573
2000-04-25,7.2581
2000-04-26,-2.1617
2000-04-27,0.7685
2000-04-28,-0.6673
2000-05-01,-2.3992
2000-05-02,0.295
2000-05-03,-2.2549
2000-05-04,-1.2036
2000-05-05,0.4061
2000-05-08,3.5389
2000-05-09,3.0273
2000-05-10,0.7583
2000-05-11,2.0696
2000-05-12,-2.6728
2000-05-15,1.3258
2000-05-16,0.9346
2000-05-17,-1.2037
2000-05-18,0.4686
2000-05-19,-0.1866
2000-05-22,0.1869
