ticker,VCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.1479
2000-01-04,-2.3634
2000-01-05,0.9077
2000-01-06,-4.3478
2000-01-07,-0.1567
2000-01-10,4.3956
2000-01-11,-2.7068
2000-01-12,-0.9274
2000-01-13,0.624
2000-01-14,0.0
2000-01-18,-1.3953
2000-01-19,-0.3145
2000-01-20,-1.1041
2000-01-21,0.4785
2000-01-24,-3.1746
2000-01-25,-5.2459
2000-01-26,-0.692
2000-01-27,1.3937
2000-01-28,-3.9519
2000-01-31,-2.6834
2000-02-01,0.0
2000-02-02,-1.2868
2000-02-03,-1.4898
2000-02-04,-2.6465
2000-02-07,-2.3301
2000-02-08,-4.5725999999999996
2000-02-09,-4.7917
2000-02-10,-0.6565
2000-02-11,0.4405
2000-02-14,-1.7544
2000-02-15,0.8929
2000-02-16,5.3097
2000-02-17,4.4118
2000-02-18,-5.2314
2000-02-22,-1.4862
2000-02-23,-1.2931
2000-02-24,-5.2402
2000-02-25,-2.3041
2000-02-28,0.0
2000-02-29,4.4811
2000-03-01,6.5463000000000005
2000-03-02,4.661
2000-03-03,8.502
2000-03-06,0.0
2000-03-07,5.2239
2000-03-08,-6.6489
2000-03-09,-0.2849
2000-03-10,-1.1429
2000-03-13,-2.6975
2000-03-14,-1.1881
2000-03-15,0.8016
2000-03-16,2.5845000000000002
2000-03-17,0.0
2000-03-20,-4.0698
2000-03-21,-2.2222
2000-03-22,3.9256
2000-03-23,1.1928
2000-03-24,-1.9646
2000-03-27,-3.4068
2000-03-28,-0.2075
2000-03-29,0.2079
2000-03-30,4.5643
2000-03-31,5.754
2000-04-03,-0.7505
2000-04-04,2.0794
2000-04-05,-2.037
2000-04-06,2.4575
2000-04-07,-0.5535
2000-04-10,-2.7829
2000-04-11,-2.4809
2000-04-12,-1.1742
2000-04-13,1.3860999999999999
2000-04-14,-5.4688
2000-04-17,0.2066
2000-04-18,0.0
2000-04-19,1.4433
2000-04-20,9.3496
2000-04-24,-0.9294
2000-04-25,3.94
2000-04-26,-1.6245
2000-04-27,-1.4679
2000-04-28,1.4898
2000-05-01,2.3853
2000-05-02,-4.6594999999999995
2000-05-03,-0.3759
2000-05-04,0.1887
2000-05-05,1.5066000000000002
2000-05-08,-1.6698
2000-05-09,0.566
2000-05-10,-1.1257
2000-05-11,3.0361
2000-05-12,-0.3683
2000-05-15,1.8484
2000-05-16,0.1815
2000-05-17,-1.8115999999999999
2000-05-18,-0.1845
2000-05-19,0.0
