ticker,CGX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.5105
2000-01-04,-3.0043
2000-01-05,0.4425
2000-01-06,-0.8811
2000-01-07,3.1111
2000-01-10,0.0
2000-01-11,0.431
2000-01-12,0.4292
2000-01-13,2.1368
2000-01-14,-3.3473
2000-01-18,-0.4329
2000-01-19,-2.1739
2000-01-20,3.1111
2000-01-21,0.8621
2000-01-24,-1.2821
2000-01-25,2.5974
2000-01-26,-3.3755
2000-01-27,-3.9301
2000-01-28,-3.6364
2000-01-31,0.4717
2000-02-01,1.8779
2000-02-02,5.0691
2000-02-03,2.193
2000-02-04,1.2876
2000-02-07,2.9661
2000-02-08,-1.2346
2000-02-09,-0.4167
2000-02-10,-1.6736
2000-02-11,1.2766
2000-02-14,2.9412000000000003
2000-02-15,-2.449
2000-02-16,-1.2551999999999999
2000-02-17,2.9661
2000-02-18,0.0
2000-02-22,0.823
2000-02-23,-3.6734999999999998
2000-02-24,-1.6949
2000-02-25,-1.2931
2000-02-28,-2.6201
2000-02-29,-1.7936999999999999
2000-03-01,-5.9361
2000-03-02,-0.9709
2000-03-03,0.9804
2000-03-06,0.0
2000-03-07,-4.8544
2000-03-08,0.0
2000-03-09,2.551
2000-03-10,-2.4876
2000-03-13,-6.1224
2000-03-14,2.7174
2000-03-15,1.5873
2000-03-16,13.0208
2000-03-17,-1.8433000000000002
2000-03-20,-0.939
2000-03-21,0.4739
2000-03-22,-0.9434
2000-03-23,1.9048
2000-03-24,4.6729
2000-03-27,-1.7856999999999998
2000-03-28,-1.8182
2000-03-29,0.9259
2000-03-30,-1.3761
2000-03-31,-4.186
2000-04-03,1.4563
2000-04-04,1.4354
2000-04-05,0.0
2000-04-06,-5.1887
2000-04-07,-5.4726
2000-04-10,0.0
2000-04-11,-0.5263
2000-04-12,-5.8201
2000-04-13,3.3708
2000-04-14,0.5435
2000-04-17,1.0811
2000-04-18,-0.5348
2000-04-19,2.6882
2000-04-20,-2.0942
2000-04-24,-2.6738
2000-04-25,1.0989
2000-04-26,-1.087
2000-04-27,2.7473
2000-04-28,1.0695000000000001
2000-05-01,0.0
2000-05-02,-0.5291
2000-05-03,-1.5957
2000-05-04,-2.1622
2000-05-05,0.5525
2000-05-08,-1.0989
2000-05-09,1.1111
2000-05-10,-7.1429
2000-05-11,0.5917
2000-05-12,-2.3529
2000-05-15,6.0241
2000-05-16,3.4091
2000-05-17,-2.1978
2000-05-18,0.0
2000-05-19,-1.1236
2000-05-22,-1.1364
