ticker,MIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-16,11.2
2004-12-17,-2.9496
2004-12-20,-0.3336
2004-12-21,1.4504000000000001
2004-12-22,-0.2933
2004-12-23,2.8676
2004-12-27,0.965
2004-12-28,2.6549
2004-12-29,0.3793
2004-12-30,-0.0344
2004-12-31,0.8591
2005-01-03,-1.3969
2005-01-04,-0.4838
2005-01-05,0.6944
2005-01-06,0.0
2005-01-07,0.0
2005-01-10,0.8621
2005-01-11,-0.9915
2005-01-12,-0.3798
2005-01-13,-0.0693
2005-01-14,0.4162
2005-01-18,-0.6908
2005-01-19,-0.2435
2005-01-20,-0.1046
2005-01-21,1.5707
2005-01-24,-0.5155
2005-01-25,0.1727
2005-01-26,0.0
2005-01-27,0.7586
2005-01-28,-0.4791
2005-01-31,0.8941
2005-02-01,0.2045
2005-02-02,0.6803
2005-02-03,-1.0135
2005-02-04,1.1945000000000001
2005-02-07,-1.4165
2005-02-08,1.0948
2005-02-09,-0.1692
2005-02-10,-0.1695
2005-02-11,-0.034
2005-02-14,0.034
2005-02-15,-0.1358
2005-02-16,0.136
2005-02-17,1.528
2005-02-18,0.602
2005-02-22,-0.0665
2005-02-23,-0.1996
2005-02-24,-2.1667
2005-02-25,-1.2606
2005-02-28,-2.0704
2005-03-01,-0.5285
2005-03-02,2.6212999999999997
2005-03-03,0.0345
2005-03-04,-1.8288
2005-03-07,0.2812
2005-03-08,-1.1567
2005-03-09,-0.5674
2005-03-10,1.2482
2005-03-11,0.7397
2005-03-14,1.1538
2005-03-15,-1.8319999999999999
2005-03-16,-0.7746
2005-03-17,-0.6033
2005-03-18,1.7494
2005-03-21,1.4035
2005-03-22,-3.4256
2005-03-23,0.3225
2005-03-24,3.4643
2005-03-28,-1.1046
2005-03-29,-1.0471
2005-03-30,-0.5644
2005-03-31,-0.674
2005-04-01,-0.0357
2005-04-04,-2.4652
2005-04-05,0.3663
2005-04-06,0.365
2005-04-07,1.8182
2005-04-08,-1.2143
2005-04-11,-0.5061
2005-04-12,0.9084
2005-04-13,0.144
2005-04-14,-0.7192
2005-04-15,1.3039
2005-04-18,-1.1441
2005-04-19,0.3617
2005-04-20,0.2883
2005-04-21,-0.1797
2005-04-22,-0.468
2005-04-25,0.1808
2005-04-26,-1.0108
2005-04-27,0.6565
2005-04-28,-0.3623
2005-04-29,-0.9091
2005-05-02,0.2202
2005-05-03,-0.3662
2005-05-04,0.1838
2005-05-05,0.1467
2005-05-06,3.0769
2005-05-09,0.462
