ticker,OMM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0303
2000-01-04,-9.375
2000-01-05,3.4483
2000-01-06,3.3333
2000-01-07,3.2258
2000-01-10,3.125
2000-01-11,0.0
2000-01-12,0.0
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,-6.0606
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,29.0323
2000-01-24,-2.5
2000-01-25,0.0
2000-01-26,-5.1282
2000-01-27,0.0
2000-01-28,-8.1081
2000-01-31,8.8235
2000-02-01,2.7027
2000-02-02,0.0
2000-02-03,0.0
2000-02-04,0.0
2000-02-07,-5.2632
2000-02-08,0.0
2000-02-09,2.7778
2000-02-10,-2.7027
2000-02-11,0.0
2000-02-14,5.5556
2000-02-15,13.1579
2000-02-16,-2.3256
2000-02-17,4.7619
2000-02-18,-4.5455
2000-02-22,16.6667
2000-02-23,2.0408
2000-02-24,2.0
2000-02-25,7.8431
2000-02-28,1.8182
2000-02-29,8.9286
2000-03-01,3.2787
2000-03-02,-4.7619
2000-03-03,-3.3333
2000-03-06,5.1724
2000-03-07,1.6393
2000-03-08,-3.2258
2000-03-09,-1.6667
2000-03-10,-1.6949
2000-03-13,3.4483
2000-03-14,-1.6667
2000-03-15,3.3898
2000-03-16,1.6393
2000-03-17,0.0
2000-03-20,0.0
2000-03-21,-4.8387
2000-03-22,-1.6949
2000-03-23,1.7241
2000-03-24,1.6949
2000-03-27,1.6667
2000-03-28,0.0
2000-03-29,1.6393
2000-03-30,-3.2258
2000-03-31,1.6667
2000-04-03,-1.6393
2000-04-04,-5.0
2000-04-05,3.5088
2000-04-06,-1.6949
2000-04-07,1.7241
2000-04-10,0.0
2000-04-11,-10.1695
2000-04-12,-3.7736
2000-04-13,-1.9607999999999999
2000-04-14,-8.0
2000-04-17,0.0
2000-04-18,2.1739
2000-04-19,4.2553
2000-04-20,0.0
2000-04-24,-2.0408
2000-04-25,2.0833
2000-04-26,6.1224
2000-04-27,5.7692
2000-04-28,1.8182
2000-05-01,-7.1429
2000-05-02,3.8462
2000-05-03,0.0
2000-05-04,9.2593
2000-05-05,-3.3898
2000-05-08,-1.7544
2000-05-09,1.7856999999999998
2000-05-10,-1.7544
2000-05-11,-1.7856999999999998
2000-05-12,3.6364
2000-05-15,-1.7544
2000-05-16,0.0
2000-05-17,-1.7856999999999998
2000-05-18,5.4545
2000-05-19,-1.7241
2000-05-22,-3.5088
2000-05-23,-5.4545
2000-05-24,3.8462
2000-05-25,1.8519
