ticker,RAD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,6.7416
2000-01-04,-4.2105
2000-01-05,-2.1978
2000-01-06,-3.3708
2000-01-07,2.3256
2000-01-10,-2.2727
2000-01-11,-1.1628
2000-01-12,-25.8824
2000-01-13,1.5873
2000-01-14,-0.7813
2000-01-18,0.7874
2000-01-19,-6.25
2000-01-20,0.0
2000-01-21,-5.0
2000-01-24,4.386
2000-01-25,-0.8403
2000-01-26,-7.6271
2000-01-27,0.0
2000-01-28,-2.7523
2000-01-31,6.6038
2000-02-01,7.0796
2000-02-02,-1.6529
2000-02-03,-3.3613
2000-02-04,0.0
2000-02-07,3.4783
2000-02-08,0.0
2000-02-09,0.0
2000-02-10,-1.6806999999999999
2000-02-11,-1.7094
2000-02-14,-3.4783
2000-02-15,0.9009
2000-02-16,1.7856999999999998
2000-02-17,-7.0175
2000-02-18,0.0
2000-02-22,1.8868
2000-02-23,14.8148
2000-02-24,16.129
2000-02-25,-18.0556
2000-02-28,-5.0847
2000-02-29,-1.7856999999999998
2000-03-01,1.8182
2000-03-02,0.0
2000-03-03,-7.1429
2000-03-06,-2.8846
2000-03-07,-2.9703
2000-03-08,3.0612
2000-03-09,-0.9901
2000-03-10,-2.0
2000-03-13,-1.0204
2000-03-14,3.0928
2000-03-15,-10.0
2000-03-16,4.4444
2000-03-17,0.0
2000-03-20,-2.1277
2000-03-21,1.087
2000-03-22,-3.2258
2000-03-23,3.3333
2000-03-24,-1.0753
2000-03-27,1.087
2000-03-28,1.0753
2000-03-29,-1.0638
2000-03-30,-1.0753
2000-03-31,-4.3478
2000-04-03,1.1364
2000-04-04,0.0
2000-04-05,-2.2472
2000-04-06,-2.2989
2000-04-07,-1.1764999999999999
2000-04-10,8.3333
2000-04-11,28.5714
2000-04-12,-11.1111
2000-04-13,2.8846
2000-04-14,-6.5421
2000-04-17,-6.0
2000-04-18,-1.0638
2000-04-19,-1.0753
2000-04-20,-3.2609
2000-04-24,-2.2472
2000-04-25,4.5977
2000-04-26,-4.3956
2000-04-27,-5.7471
2000-04-28,-1.2195
2000-05-01,-3.7037
2000-05-02,7.6923
2000-05-03,0.0
2000-05-04,2.3810000000000002
2000-05-05,3.4884
2000-05-08,1.1236
2000-05-09,3.3333
2000-05-10,-1.0753
2000-05-11,7.6087
2000-05-12,0.0
2000-05-15,13.1313
2000-05-16,3.5714
2000-05-17,-4.3103
2000-05-18,13.5135
2000-05-19,-4.7619
2000-05-22,-3.3333
