ticker,TOL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.6779
2000-01-04,-3.7542999999999997
2000-01-05,2.1277
2000-01-06,-2.4306
2000-01-07,1.7793999999999999
2000-01-10,2.0979
2000-01-11,-3.0822
2000-01-12,-3.5336
2000-01-13,5.4945
2000-01-14,2.7778
2000-01-18,0.3378
2000-01-19,1.6835
2000-01-20,-2.649
2000-01-21,-2.7211
2000-01-24,-2.0979
2000-01-25,-2.1429
2000-01-26,0.0
2000-01-27,2.1898
2000-01-28,0.0
2000-01-31,-2.8571
2000-02-01,0.0
2000-02-02,-2.5735
2000-02-03,1.5093999999999999
2000-02-04,0.0
2000-02-07,1.487
2000-02-08,-0.3663
2000-02-09,-1.1029
2000-02-10,-0.3717
2000-02-11,-2.2388
2000-02-14,-1.5267
2000-02-15,1.5504
2000-02-16,0.7634
2000-02-17,5.303
2000-02-18,-1.7986
2000-02-22,0.0
2000-02-23,1.4652
2000-02-24,-2.8881
2000-02-25,-1.1152
2000-02-28,-1.1278
2000-02-29,1.1407
2000-03-01,7.1429
2000-03-02,1.7544
2000-03-03,0.3448
2000-03-06,-3.7801
2000-03-07,-2.5
2000-03-08,-1.0989
2000-03-09,2.963
2000-03-10,-0.7194
2000-03-13,-2.5362
2000-03-14,0.3717
2000-03-15,2.963
2000-03-16,5.036
2000-03-17,2.0548
2000-03-20,0.0
2000-03-21,2.0134
2000-03-22,-2.3026
2000-03-23,15.1515
2000-03-24,-4.6784
2000-03-27,-0.3067
2000-03-28,-2.1538
2000-03-29,3.4591
2000-03-30,2.1277
2000-03-31,-4.7619
2000-04-03,4.375
2000-04-04,0.5988
2000-04-05,1.7856999999999998
2000-04-06,1.7544
2000-04-07,0.5747
2000-04-10,1.7143000000000002
2000-04-11,0.8427
2000-04-12,1.3928
2000-04-13,1.0989
2000-04-14,-5.9783
2000-04-17,-1.4451
2000-04-18,4.3988
2000-04-19,0.5618
2000-04-20,0.0
2000-04-24,1.1173
2000-04-25,-3.8674
2000-04-26,-0.2874
2000-04-27,-0.2882
2000-04-28,0.289
2000-05-01,-0.8646
2000-05-02,-1.1628
2000-05-03,-1.4706000000000001
2000-05-04,-0.8955
2000-05-05,3.6145
2000-05-08,-2.0349
2000-05-09,0.0
2000-05-10,-1.4837
2000-05-11,0.9036
2000-05-12,3.2836
2000-05-15,-0.578
2000-05-16,0.8721
2000-05-17,-1.7290999999999999
2000-05-18,-4.3988
2000-05-19,-3.9877000000000002
2000-05-22,-1.5974
