ticker,HNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.2893
2000-01-04,-0.6711
2000-01-05,-1.3514
2000-01-06,5.4795
2000-01-07,16.2338
2000-01-10,-2.7933
2000-01-11,0.5747
2000-01-12,-0.5714
2000-01-13,-3.4483
2000-01-14,-0.5952
2000-01-18,2.9939999999999998
2000-01-19,1.1628
2000-01-20,4.023
2000-01-21,-4.9724
2000-01-24,-2.3256
2000-01-25,-1.1905000000000001
2000-01-26,-3.012
2000-01-27,0.6211
2000-01-28,-1.2346
2000-01-31,2.5
2000-02-01,-1.8293
2000-02-02,2.4845
2000-02-03,-1.2121
2000-02-04,0.6135
2000-02-07,0.6098
2000-02-08,-3.6364
2000-02-09,-3.7736
2000-02-10,-3.9215999999999998
2000-02-11,-6.1224
2000-02-14,4.3478
2000-02-15,0.0
2000-02-16,-4.1667
2000-02-17,1.4493
2000-02-18,-1.4285999999999999
2000-02-22,1.4493
2000-02-23,0.0
2000-02-24,-6.4286
2000-02-25,0.7634
2000-02-28,0.7576
2000-02-29,0.0
2000-03-01,6.015
2000-03-02,-5.6738
2000-03-03,3.7594
2000-03-06,-2.8986
2000-03-07,-5.9701
2000-03-08,6.3492
2000-03-09,0.0
2000-03-10,-1.4925
2000-03-13,-1.5152
2000-03-14,-0.7692
2000-03-15,-1.5504
2000-03-16,0.7874
2000-03-17,-0.7813
2000-03-20,0.0
2000-03-21,0.7874
2000-03-22,-1.5625
2000-03-23,0.7937
2000-03-24,0.0
2000-03-27,-1.5748
2000-03-28,-1.6
2000-03-29,0.813
2000-03-30,3.2258
2000-03-31,0.0
2000-04-03,0.0
2000-04-04,-0.7813
2000-04-05,-2.3622
2000-04-06,7.2581
2000-04-07,-0.7519
2000-04-10,-1.5152
2000-04-11,3.0769
2000-04-12,2.2388
2000-04-13,2.1898
2000-04-14,-7.1429
2000-04-17,-0.7692
2000-04-18,13.1783
2000-04-19,-2.7397
2000-04-20,4.2254
2000-04-24,8.1081
2000-04-25,2.5
2000-04-26,-1.8293
2000-04-27,1.2422
2000-04-28,-1.227
2000-05-01,-0.6211
2000-05-02,-0.625
2000-05-03,-5.0314
2000-05-04,2.649
2000-05-05,1.2903
2000-05-08,-0.6369
2000-05-09,2.5641
2000-05-10,-4.375
2000-05-11,-5.8824
2000-05-12,0.6944
2000-05-15,4.8276
2000-05-16,11.8421
2000-05-17,4.1176
2000-05-18,3.9548
2000-05-19,-1.087
2000-05-22,-2.7473
2000-05-23,8.4746
