ticker,RDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-8.3573
2000-01-04,-0.3145
2000-01-05,-1.8927
2000-01-06,5.7878
2000-01-07,2.1277
2000-01-10,0.8929
2000-01-11,2.6549
2000-01-12,-4.023
2000-01-13,7.485
2000-01-14,4.1783
2000-01-18,3.2086
2000-01-19,-0.7772
2000-01-20,-1.0444
2000-01-21,1.0554
2000-01-24,-2.3499
2000-01-25,-1.3369
2000-01-26,-1.626
2000-01-27,-3.8567
2000-01-28,-3.4384
2000-01-31,7.7151
2000-02-01,0.0
2000-02-02,-1.1019
2000-02-03,1.3928
2000-02-04,0.2747
2000-02-07,1.6438000000000001
2000-02-08,-6.1995000000000005
2000-02-09,-3.1609
2000-02-10,6.5282
2000-02-11,0.2786
2000-02-14,5.5556
2000-02-15,6.5789
2000-02-16,-3.2099
2000-02-17,-2.0408
2000-02-18,-3.9063
2000-02-22,-1.084
2000-02-23,-2.7397
2000-02-24,6.7606
2000-02-25,-1.847
2000-02-28,3.4946
2000-02-29,3.3766
2000-03-01,2.5126
2000-03-02,5.6373
2000-03-03,-1.3921000000000001
2000-03-06,4.0
2000-03-07,3.6199
2000-03-08,-9.8253
2000-03-09,0.0
2000-03-10,1.937
2000-03-13,1.9002
2000-03-14,-0.4662
2000-03-15,-3.9813
2000-03-16,9.2683
2000-03-17,-4.0179
2000-03-20,-4.186
2000-03-21,3.3981
2000-03-22,6.338
2000-03-23,-2.8698
2000-03-24,3.1818
2000-03-27,4.8458
2000-03-28,-3.7815
2000-03-29,3.9301
2000-03-30,-3.3613
2000-03-31,2.3913
2000-04-03,1.9108
2000-04-04,-4.7917
2000-04-05,-4.3764
2000-04-06,2.5172
2000-04-07,0.4464
2000-04-10,-7.5556
2000-04-11,5.0481
2000-04-12,1.373
2000-04-13,-5.1919
2000-04-14,1.6667
2000-04-17,-5.3864
2000-04-18,8.4158
2000-04-19,-1.1416
2000-04-20,2.0785
2000-04-24,-1.81
2000-04-25,-1.8433000000000002
2000-04-26,1.4085
2000-04-27,4.3981
2000-04-28,-0.8869
2000-05-01,2.0134
2000-05-02,2.4123
2000-05-03,-3.8544
2000-05-04,4.4543
2000-05-05,0.6397
2000-05-08,3.6017
2000-05-09,0.0
2000-05-10,-1.8405
2000-05-11,0.625
2000-05-12,1.4493
2000-05-15,3.4694
2000-05-16,-1.3807
2000-05-17,2.4
2000-05-18,-2.7344
2000-05-19,-2.008
2000-05-22,-5.123
2000-05-23,2.8078
