ticker,GR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.7727
2000-01-04,-1.432
2000-01-05,-1.6949
2000-01-06,8.3744
2000-01-07,0.9091
2000-01-10,0.6757
2000-01-11,0.0
2000-01-12,-0.6711
2000-01-13,-0.2252
2000-01-14,3.1603
2000-01-18,-0.8753
2000-01-19,0.883
2000-01-20,0.0
2000-01-21,-1.0941
2000-01-24,-1.7699
2000-01-25,-4.2793
2000-01-26,-0.7059
2000-01-27,-0.9479
2000-01-28,-5.5024
2000-01-31,1.2658
2000-02-01,0.75
2000-02-02,0.2481
2000-02-03,-2.2277
2000-02-04,-1.0127
2000-02-07,-1.5345
2000-02-08,-1.2987
2000-02-09,-3.4211
2000-02-10,-0.8174
2000-02-11,-3.2967
2000-02-14,0.2841
2000-02-15,3.6827
2000-02-16,-1.3660999999999999
2000-02-17,4.1551
2000-02-18,-3.4574
2000-02-22,2.7548
2000-02-23,-2.1448
2000-02-24,0.8219
2000-02-25,1.3587
2000-02-28,-1.6086
2000-02-29,4.3597
2000-03-01,-2.8721
2000-03-02,1.4516
2000-03-03,6.7024
2000-03-06,6.2814
2000-03-07,-3.0733
2000-03-08,1.9512
2000-03-09,3.3493
2000-03-10,-1.8519
2000-03-13,-0.7075
2000-03-14,2.6128
2000-03-15,3.0093
2000-03-16,6.2921
2000-03-17,-3.1712
2000-03-20,-2.6201
2000-03-21,0.6726
2000-03-22,-1.5590000000000002
2000-03-23,1.3575
2000-03-24,-2.0089
2000-03-27,-0.4556
2000-03-28,-0.4577
2000-03-29,3.2184
2000-03-30,-0.2227
2000-03-31,2.4554
2000-04-03,-1.0893
2000-04-04,0.4405
2000-04-05,-0.8772
2000-04-06,9.5133
2000-04-07,-0.202
2000-04-10,-1.0121
2000-04-11,5.726
2000-04-12,0.0
2000-04-13,-0.1934
2000-04-14,-6.7829
2000-04-17,0.6237
2000-04-18,-1.8595000000000002
2000-04-19,-1.6842000000000001
2000-04-20,2.9979
2000-04-24,0.4158
2000-04-25,2.4845
2000-04-26,0.0
2000-04-27,2.0202
2000-04-28,0.198
2000-05-01,2.5692
2000-05-02,0.3854
2000-05-03,-1.9194
2000-05-04,0.0
2000-05-05,1.5655999999999999
2000-05-08,4.0462
2000-05-09,-0.3704
2000-05-10,0.7435
2000-05-11,1.2915
2000-05-12,0.5464
2000-05-15,0.7246
2000-05-16,0.7194
2000-05-17,-1.25
2000-05-18,-0.7233
2000-05-19,0.0
2000-05-22,1.0929
2000-05-23,1.0811
