ticker,MTZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.6517
2000-01-04,-3.207
2000-01-05,1.506
2000-01-06,0.5935
2000-01-07,1.9174
2000-01-10,-1.3025
2000-01-11,-0.2933
2000-01-12,1.6176
2000-01-13,0.8683
2000-01-14,-1.1478
2000-01-18,2.1771
2000-01-19,6.5341000000000005
2000-01-20,1.0667
2000-01-21,4.8812999999999995
2000-01-24,0.3774
2000-01-25,-2.3810000000000002
2000-01-26,-2.9525
2000-01-27,1.7196
2000-01-28,-2.6008
2000-01-31,-1.3351
2000-02-01,2.7064
2000-02-02,2.108
2000-02-03,-0.2581
2000-02-04,3.4929
2000-02-07,0.25
2000-02-08,0.6234
2000-02-09,-5.948
2000-02-10,1.054
2000-02-11,1.3038
2000-02-14,4.3758
2000-02-15,5.5487
2000-02-16,4.4393
2000-02-17,2.349
2000-02-18,-1.4208
2000-02-22,1.2195
2000-02-23,-1.2048
2000-02-24,-0.1109
2000-02-25,-2.7747
2000-02-28,1.8265
2000-02-29,3.3632
2000-03-01,15.1844
2000-03-02,-0.8475
2000-03-03,1.4245
2000-03-06,1.03
2000-03-07,0.3707
2000-03-08,-4.1551
2000-03-09,3.0829
2000-03-10,0.6542
2000-03-13,-0.65
2000-03-14,-3.3645
2000-03-15,-0.9671
2000-03-16,3.9063
2000-03-17,0.188
2000-03-20,2.6266
2000-03-21,2.1938
2000-03-22,0.0894
2000-03-23,8.1323
2000-03-24,3.8017
2000-03-27,4.7771
2000-03-28,-0.228
2000-03-29,-2.4372
2000-03-30,3.2006
2000-03-31,7.7156
2000-04-03,-2.177
2000-04-04,-6.3891
2000-04-05,3.7577
2000-04-06,0.4435
2000-04-07,2.4283
2000-04-10,0.0718
2000-04-11,-12.5628
2000-04-12,-2.3810000000000002
2000-04-13,-4.1211
2000-04-14,2.4561
2000-04-17,-5.9075
2000-04-18,6.0965
2000-04-19,-0.8576
2000-04-20,4.2388
2000-04-24,-2.3237
2000-04-25,2.8037
2000-04-26,1.2397
2000-04-27,9.7143
2000-04-28,2.8274
2000-05-01,-2.1708
2000-05-02,-5.8431999999999995
2000-05-03,-4.8704
2000-05-04,2.725
2000-05-05,7.8778
2000-05-08,-3.5022
2000-05-09,-3.4749
2000-05-10,-5.36
2000-05-11,1.0989
2000-05-12,3.01
2000-05-15,5.276
2000-05-16,-0.1542
2000-05-17,-0.695
2000-05-18,0.9331
2000-05-19,-5.624
2000-05-22,-4.3265
2000-05-23,-4.0956
