ticker,RPM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0675
2000-01-04,0.0
2000-01-05,4.4304
2000-01-06,-1.2121
2000-01-07,4.908
2000-01-10,0.0
2000-01-11,-1.7544
2000-01-12,-0.619
2000-01-13,-0.6061
2000-01-14,0.6098
2000-01-18,1.8182
2000-01-19,0.0
2000-01-20,-4.7619
2000-01-21,2.5
2000-01-24,1.2195
2000-01-25,-1.8072
2000-01-26,-0.6135
2000-01-27,-0.6173
2000-01-28,1.8634
2000-01-31,0.0
2000-02-01,-0.6098
2000-02-02,1.227
2000-02-03,-1.2121
2000-02-04,-1.8405
2000-02-07,4.375
2000-02-08,-2.9939999999999998
2000-02-09,-1.8519
2000-02-10,-0.6289
2000-02-11,-1.8987
2000-02-14,0.0
2000-02-15,2.5806
2000-02-16,-2.5157
2000-02-17,1.2903
2000-02-18,0.0
2000-02-22,-0.6369
2000-02-23,-0.641
2000-02-24,-0.6452
2000-02-25,-0.6494
2000-02-28,0.0
2000-02-29,3.9215999999999998
2000-03-01,2.5157
2000-03-02,0.0
2000-03-03,2.454
2000-03-06,-2.3952
2000-03-07,1.8405
2000-03-08,-2.4096
2000-03-09,1.2346
2000-03-10,1.2195
2000-03-13,-0.6024
2000-03-14,-0.6061
2000-03-15,1.8293
2000-03-16,5.3892
2000-03-17,-4.5455
2000-03-20,0.5952
2000-03-21,-3.5503
2000-03-22,0.6135
2000-03-23,0.6098
2000-03-24,-0.6061
2000-03-27,-0.6098
2000-03-28,1.227
2000-03-29,0.6061
2000-03-30,-2.4096
2000-03-31,8.642
2000-04-03,-1.1364
2000-04-04,-5.7471
2000-04-05,4.2683
2000-04-06,-1.7544
2000-04-07,1.1905000000000001
2000-04-10,1.1764999999999999
2000-04-11,1.7442
2000-04-12,-0.5943
2000-04-13,-1.7442
2000-04-14,-4.7337
2000-04-17,-1.8634
2000-04-18,-0.6329
2000-04-19,0.6369
2000-04-20,1.2658
2000-04-24,-1.25
2000-04-25,2.5316
2000-04-26,-1.8519
2000-04-27,1.2579
2000-04-28,0.6211
2000-05-01,3.7037
2000-05-02,-0.5952
2000-05-03,-2.9939999999999998
2000-05-04,4.321
2000-05-05,-1.7751000000000001
2000-05-08,1.8072
2000-05-09,1.1834
2000-05-10,-2.3392
2000-05-11,0.5988
2000-05-12,-0.5952
2000-05-15,1.1976
2000-05-16,-1.7751000000000001
2000-05-17,-1.8072
2000-05-18,-1.8405
2000-05-19,1.25
2000-05-22,0.6173
