ticker,SOCNQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.9851
2000-01-04,4.6154
2000-01-05,-2.9412000000000003
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,-3.0303
2000-01-12,3.125
2000-01-13,7.5758
2000-01-14,15.493
2000-01-18,8.5366
2000-01-19,-3.3708
2000-01-20,-5.814
2000-01-21,-1.2346
2000-01-24,-5.0
2000-01-25,1.3158
2000-01-26,-2.5974
2000-01-27,0.0
2000-01-28,-2.6667
2000-01-31,1.3699
2000-02-01,0.0
2000-02-02,0.0
2000-02-03,-1.3514
2000-02-04,0.0
2000-02-07,-1.3699
2000-02-08,0.0
2000-02-09,0.0
2000-02-10,-2.7778
2000-02-11,-1.4285999999999999
2000-02-14,-2.8986
2000-02-15,0.0
2000-02-16,-2.9851
2000-02-17,4.6154
2000-02-18,-1.4706000000000001
2000-02-22,-2.9851
2000-02-23,1.5385
2000-02-24,-1.5152
2000-02-25,1.5385
2000-02-28,-3.0303
2000-02-29,3.125
2000-03-01,-1.5152
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,0.0
2000-03-07,0.0
2000-03-08,16.9231
2000-03-09,5.2632
2000-03-10,-18.75
2000-03-13,-1.5385
2000-03-14,0.0
2000-03-15,-1.5625
2000-03-16,4.7619
2000-03-17,0.0
2000-03-20,-3.0303
2000-03-21,0.0
2000-03-22,1.5625
2000-03-23,49.2308
2000-03-24,-17.5258
2000-03-27,-10.0
2000-03-28,-6.9444
2000-03-29,1.4925
2000-03-30,-1.4706000000000001
2000-03-31,0.0
2000-04-03,-2.9851
2000-04-04,-1.5385
2000-04-05,1.5625
2000-04-06,0.0
2000-04-07,1.5385
2000-04-10,-3.0303
2000-04-11,1.5625
2000-04-12,-1.5385
2000-04-13,-3.125
2000-04-14,-22.5806
2000-04-17,14.5833
2000-04-18,3.6364
2000-04-19,-3.5088
2000-04-20,-1.8182
2000-04-24,3.7037
2000-04-25,5.3571
2000-04-26,0.0
2000-04-27,-5.0847
2000-04-28,0.0
2000-05-01,3.5714
2000-05-02,-1.7241
2000-05-03,-1.7544
2000-05-04,0.0
2000-05-05,1.7856999999999998
2000-05-08,0.0
2000-05-09,-1.7544
2000-05-10,-3.5714
2000-05-11,12.963
2000-05-12,-8.1967
2000-05-15,1.7856999999999998
2000-05-16,1.7544
2000-05-17,-5.1724
2000-05-18,-1.8182
2000-05-19,-3.7037
2000-05-22,0.0
2000-05-23,0.0
2000-05-24,1.9231
