ticker,MCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9494
2000-01-04,-2.8754
2000-01-05,5.5921
2000-01-06,3.1153
2000-01-07,4.5317
2000-01-10,0.578
2000-01-11,-2.0115
2000-01-12,2.346
2000-01-13,-2.0057
2000-01-14,-2.924
2000-01-18,0.0
2000-01-19,-2.4096
2000-01-20,-3.3951000000000002
2000-01-21,-2.2364
2000-01-24,-4.2484
2000-01-25,-4.0956
2000-01-26,3.9146
2000-01-27,-0.3425
2000-01-28,1.0309
2000-01-31,-0.6803
2000-02-01,0.6849
2000-02-02,1.0204
2000-02-03,-0.3367
2000-02-04,1.0135
2000-02-07,-9.0301
2000-02-08,-3.3088
2000-02-09,-5.3232
2000-02-10,-4.0161
2000-02-11,-3.7657
2000-02-14,4.3478
2000-02-15,0.0
2000-02-16,-2.9167
2000-02-17,-2.1459
2000-02-18,-2.6316
2000-02-22,2.7027
2000-02-23,-1.3158
2000-02-24,-1.7778
2000-02-25,-3.6199
2000-02-28,1.8779
2000-02-29,3.2258
2000-03-01,-5.3571
2000-03-02,-4.2453
2000-03-03,6.8966
2000-03-06,8.7558
2000-03-07,-3.3898
2000-03-08,0.4386
2000-03-09,3.4934
2000-03-10,3.7975
2000-03-13,4.065
2000-03-14,0.7813
2000-03-15,2.4806
2000-03-16,9.9237
2000-03-17,-3.125
2000-03-20,5.0179
2000-03-21,3.413
2000-03-22,-4.6205
2000-03-23,1.7301
2000-03-24,1.0204
2000-03-27,-2.6936
2000-03-28,2.0761
2000-03-29,-0.339
2000-03-30,3.4013999999999998
2000-03-31,5.2632
2000-04-03,-5.0
2000-04-04,-3.9474
2000-04-05,2.0548
2000-04-06,-0.6711
2000-04-07,-0.3378
2000-04-10,-1.0169
2000-04-11,9.9315
2000-04-12,4.6729
2000-04-13,1.1905000000000001
2000-04-14,-0.5882
2000-04-17,-2.3669000000000002
2000-04-18,-1.5152
2000-04-19,-5.8462
2000-04-20,1.634
2000-04-24,-2.2508
2000-04-25,3.9474
2000-04-26,-3.7975
2000-04-27,4.6053
2000-04-28,0.3145
2000-05-01,-0.627
2000-05-02,1.8927
2000-05-03,-1.2384
2000-05-04,-0.3135
2000-05-05,2.8302
2000-05-08,-1.2232
2000-05-09,2.1672
2000-05-10,-0.6061
2000-05-11,5.1829
2000-05-12,-0.8696
2000-05-15,-0.8772
2000-05-16,-1.4748999999999999
2000-05-17,-2.6946
2000-05-18,1.5385
2000-05-19,3.0303
2000-05-22,2.6471
