ticker,APR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.4706000000000001
2000-01-04,1.4493
2000-01-05,2.1429
2000-01-06,1.3986
2000-01-07,0.6897
2000-01-10,0.6849
2000-01-11,-0.6803
2000-01-12,0.6849
2000-01-13,-4.7619
2000-01-14,0.7143
2000-01-18,-1.4184
2000-01-19,0.0
2000-01-20,1.4388
2000-01-21,5.6738
2000-01-24,4.698
2000-01-25,2.5641
2000-01-26,5.0
2000-01-27,3.5714
2000-01-28,-2.2989
2000-01-31,0.5882
2000-02-01,0.0
2000-02-02,0.0
2000-02-03,0.5848
2000-02-04,1.7442
2000-02-07,4.0
2000-02-08,0.0
2000-02-09,2.7473
2000-02-10,0.5348
2000-02-11,-1.0638
2000-02-14,-1.0753
2000-02-15,-0.5435
2000-02-16,64.4809
2000-02-17,0.6645
2000-02-18,-0.33
2000-02-22,0.3311
2000-02-23,0.0
2000-02-24,0.33
2000-02-25,0.0
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,0.3289
2000-03-02,0.0
2000-03-03,-0.3279
2000-03-06,0.0
2000-03-07,0.6579
2000-03-08,-0.3268
2000-03-09,0.3279
2000-03-10,0.0
2000-03-13,0.0
2000-03-14,0.0
2000-03-15,0.0
2000-03-16,0.3268
2000-03-17,-0.3257
2000-03-20,0.3268
2000-03-21,-0.3257
2000-03-22,0.0
