ticker,WEA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-03-26,0.0
2002-03-27,0.0
2002-03-28,0.0667
2002-04-01,-0.0666
2002-04-02,0.0
2002-04-03,0.0667
2002-04-04,0.0
2002-04-05,0.1999
2002-04-08,0.0
2002-04-09,-0.0665
2002-04-10,-0.1331
2002-04-11,0.1332
2002-04-12,-0.0665
2002-04-15,0.1332
2002-04-16,-0.0665
2002-04-17,-0.0665
2002-04-18,0.0
2002-04-19,-0.0666
2002-04-22,0.0666
2002-04-23,0.0666
2002-04-24,-0.0665
2002-04-25,-0.1332
2002-04-26,0.0667
2002-04-29,0.0666
2002-04-30,-0.0666
2002-05-01,-0.0666
2002-05-02,0.0667
2002-05-03,0.0
2002-05-06,0.0
2002-05-07,0.0
2002-05-08,-0.7328
2002-05-09,-0.4698
2002-05-10,-0.4046
2002-05-13,0.5416
2002-05-14,0.404
2002-05-15,0.939
2002-05-16,0.9053
2002-05-17,0.7958
2002-05-20,0.0658
2002-05-21,0.263
2002-05-22,0.0
2002-05-23,-0.5902
2002-05-24,0.4617
2002-05-28,-1.4445000000000001
2002-05-29,-0.0666
2002-05-30,0.7333
2002-05-31,-0.0662
2002-06-03,1.2583
2002-06-04,-0.3924
2002-06-05,-0.0657
2002-06-06,-0.3942
2002-06-07,0.3298
2002-06-10,-0.0657
2002-06-11,-0.1316
2002-06-12,0.6588
2002-06-13,0.2372
2002-06-14,-0.263
2002-06-17,0.2637
2002-06-18,0.0
2002-06-19,0.4602
2002-06-20,0.0
2002-06-21,-0.3272
2002-06-24,-0.2626
2002-06-25,-0.5925
2002-06-26,-7.8146
2002-06-27,2.3707
2002-06-28,1.4035
2002-07-01,3.8062
2002-07-02,-2.3333
2002-07-03,1.0239
2002-07-05,0.0
2002-07-08,1.2838
2002-07-09,0.0
2002-07-10,0.6004
2002-07-11,-0.5305
2002-07-12,-2.3333
2002-07-15,-1.0239
2002-07-16,1.4224
2002-07-17,1.3699
2002-07-18,1.3514
2002-07-19,-2.6
2002-07-22,-1.5058
2002-07-23,-0.9034
2002-07-24,2.5947
2002-07-25,-0.4101
2002-07-26,-0.5491
2002-07-29,-4.0718
2002-07-30,-4.3165
2002-07-31,3.5338000000000003
2002-08-01,0.8715
2002-08-02,1.7999
2002-08-05,-0.9901
2002-08-06,0.0
2002-08-07,-0.0714
2002-08-08,0.0
2002-08-09,1.4296
2002-08-12,-0.2819
2002-08-13,0.0
2002-08-14,0.3534
2002-08-15,1.3115999999999999
