ticker,RBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.5267
2000-01-04,-2.2556
2000-01-05,0.7692
2000-01-06,-0.7634
2000-01-07,-0.7692
2000-01-10,1.5504
2000-01-11,1.5267
2000-01-12,-3.0075
2000-01-13,1.5504
2000-01-14,0.0
2000-01-18,-1.5267
2000-01-19,0.0
2000-01-20,-0.7752
2000-01-21,-1.5625
2000-01-24,-2.3810000000000002
2000-01-25,-0.813
2000-01-26,2.459
2000-01-27,-0.8
2000-01-28,-4.0323
2000-01-31,-0.8403
2000-02-01,-0.8475
2000-02-02,-2.5641
2000-02-03,28.947400000000002
2000-02-04,-2.7211
2000-02-07,-0.6993
2000-02-08,-4.2254
2000-02-09,0.0
2000-02-10,5.1471
2000-02-11,-2.7972
2000-02-14,-0.7194
2000-02-15,2.1739
2000-02-16,-4.2553
2000-02-17,1.4815
2000-02-18,-5.1095
2000-02-22,0.0
2000-02-23,-0.7692
2000-02-24,-3.876
2000-02-25,-4.8387
2000-02-28,-2.5423999999999998
2000-02-29,11.3043
2000-03-01,0.0
2000-03-02,7.8125
2000-03-03,-0.7246
2000-03-06,1.4599
2000-03-07,1.4388
2000-03-08,1.4184
2000-03-09,-0.6993
2000-03-10,2.1127
2000-03-13,-2.7586
2000-03-14,-2.8369
2000-03-15,0.0
2000-03-16,5.1095
2000-03-17,2.7778
2000-03-20,0.6757
2000-03-21,-2.0134
2000-03-22,-2.7397
2000-03-23,2.8169
2000-03-24,-2.0548
2000-03-27,0.0
2000-03-28,-0.6993
2000-03-29,2.1127
2000-03-30,0.0
2000-03-31,2.069
2000-04-03,2.027
2000-04-04,23.1788
2000-04-05,20.4301
2000-04-06,-2.2321
2000-04-07,4.5662
2000-04-10,0.0
2000-04-11,-2.6201
2000-04-12,-3.1390000000000002
2000-04-13,-3.2407
2000-04-14,-4.3062000000000005
2000-04-17,-1.0
2000-04-18,9.596
2000-04-19,24.8848
2000-04-20,-2.583
2000-04-24,1.5152
2000-04-25,8.9552
2000-04-26,-3.4247
2000-04-27,-0.3546
2000-04-28,-3.2028
2000-05-01,-2.5735
2000-05-02,-1.1320999999999999
2000-05-03,-0.7634
2000-05-04,1.9231
2000-05-05,1.8868
2000-05-08,-1.4815
2000-05-09,5.2632
2000-05-10,-0.7143
2000-05-11,-2.8777
2000-05-12,1.4815
2000-05-15,-0.365
2000-05-16,-1.4652
2000-05-17,-3.7175000000000002
2000-05-18,-1.1583
2000-05-19,-3.5156
2000-05-22,2.0243
