ticker,MXE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-6.2937
2000-01-05,3.7313
2000-01-06,-2.1583
2000-01-07,0.7353
2000-01-10,2.9196999999999997
2000-01-11,-2.1277
2000-01-12,-2.1739
2000-01-13,3.7037
2000-01-14,0.0
2000-01-18,0.7143
2000-01-19,0.0
2000-01-20,-0.7092
2000-01-21,-0.7143
2000-01-24,-1.4388
2000-01-25,-1.4599
2000-01-26,0.7407
2000-01-27,0.7353
2000-01-28,-1.4599
2000-01-31,0.0
2000-02-01,0.7407
2000-02-02,0.0
2000-02-03,2.9412000000000003
2000-02-04,3.5714
2000-02-07,1.3793
2000-02-08,4.7619
2000-02-09,1.9481000000000002
2000-02-10,1.9108
2000-02-11,0.625
2000-02-14,3.1056
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,1.8072
2000-02-18,-1.1834
2000-02-22,-1.7964
2000-02-23,1.8293
2000-02-24,0.5988
2000-02-25,-1.1905000000000001
2000-02-28,0.0
2000-02-29,1.2048
2000-03-01,1.1905000000000001
2000-03-02,5.2941
2000-03-03,1.6760000000000002
2000-03-06,0.5495
2000-03-07,1.0929
2000-03-08,3.2432
2000-03-09,1.5707
2000-03-10,-0.5155
2000-03-13,-4.6632
2000-03-14,-1.087
2000-03-15,-2.1978
2000-03-16,1.6854
2000-03-17,0.5525
2000-03-20,-2.1978
2000-03-21,-0.5618
2000-03-22,0.565
2000-03-23,0.5618
2000-03-24,2.2346
2000-03-27,1.6393
2000-03-28,2.1505
2000-03-29,-2.1053
2000-03-30,-2.1505
2000-03-31,0.0
2000-04-03,-2.1978
2000-04-04,-5.0562
2000-04-05,2.3669000000000002
2000-04-06,2.8902
2000-04-07,2.2472
2000-04-10,-2.1978
2000-04-11,-1.6854
2000-04-12,-0.5714
2000-04-13,-1.1494
2000-04-14,-7.5581
2000-04-17,-5.0314
2000-04-18,2.649
2000-04-19,-1.9355
2000-04-20,3.2895
2000-04-24,-3.1847
2000-04-25,2.6316
2000-04-26,0.0
2000-04-27,0.641
2000-04-28,-1.2739
2000-05-01,1.2903
2000-05-02,0.0
2000-05-03,-1.2739
2000-05-04,-0.6452
2000-05-05,3.8961
2000-05-08,-1.25
2000-05-09,0.0
2000-05-10,-2.5316
2000-05-11,0.6494
2000-05-12,0.0
2000-05-15,-0.6452
2000-05-16,0.6494
2000-05-17,-2.5806
2000-05-18,-1.9868000000000001
2000-05-19,-3.3784
2000-05-22,-3.4965
