ticker,PCL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.5
2000-01-04,-3.5176
2000-01-05,4.9479
2000-01-06,0.9926
2000-01-07,0.7371
2000-01-10,-1.2195
2000-01-11,-2.4691
2000-01-12,-1.0127
2000-01-13,-0.5115
2000-01-14,-3.599
2000-01-18,-1.6
2000-01-19,-2.71
2000-01-20,1.6713
2000-01-21,1.0959
2000-01-24,-1.626
2000-01-25,-1.6529
2000-01-26,-0.8403
2000-01-27,2.8249
2000-01-28,-0.2747
2000-01-31,-0.2755
2000-02-01,1.6575
2000-02-02,2.1739
2000-02-03,-0.266
2000-02-04,0.8
2000-02-07,-1.5873
2000-02-08,-0.8065
2000-02-09,0.271
2000-02-10,0.5405
2000-02-11,2.4194
2000-02-14,0.8189
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,0.2667
2000-02-18,-0.7979
2000-02-22,0.8043
2000-02-23,0.0
2000-02-24,-3.7234
2000-02-25,-0.2762
2000-02-28,-2.2161
2000-02-29,0.8499
2000-03-01,3.6517
2000-03-02,1.626
2000-03-03,0.2667
2000-03-06,-2.1277
2000-03-07,-0.2717
2000-03-08,-2.9973
2000-03-09,1.6854
2000-03-10,2.2099
2000-03-13,-0.5405
2000-03-14,-1.3587
2000-03-15,3.5813
2000-03-16,4.2553
2000-03-17,-0.2551
2000-03-20,-0.2558
2000-03-21,-1.0256
2000-03-22,-1.2953000000000001
2000-03-23,-0.2625
2000-03-24,-3.1579
2000-03-27,1.087
2000-03-28,2.1505
2000-03-29,3.6842
2000-03-30,0.0
2000-03-31,0.0
2000-04-03,1.0152
2000-04-04,-1.005
2000-04-05,-0.5076
2000-04-06,-1.0204
2000-04-07,-1.8041
2000-04-10,1.3123
2000-04-11,2.8497
2000-04-12,-0.2519
2000-04-13,-2.0202
2000-04-14,-2.5773
2000-04-17,-0.5291
2000-04-18,0.0
2000-04-19,1.8617
2000-04-20,0.2611
2000-04-24,-2.0833
2000-04-25,1.8617
2000-04-26,2.8721
2000-04-27,-0.5076
2000-04-28,-0.2551
2000-05-01,1.5345
2000-05-02,1.5112999999999999
2000-05-03,-0.2481
2000-05-04,-0.2488
2000-05-05,2.7431
2000-05-08,-0.7282
2000-05-09,0.489
2000-05-10,-0.2433
2000-05-11,1.2195
2000-05-12,0.241
2000-05-15,0.5096
2000-05-16,1.2225
2000-05-17,-1.4493
2000-05-18,-1.9607999999999999
2000-05-19,0.5
2000-05-22,-0.4975
2000-05-23,-1.25
