ticker,REY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.6111
2000-01-04,-3.7464
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,1.1976
2000-01-10,2.6627
2000-01-11,-0.8646
2000-01-12,-1.1628
2000-01-13,-3.8235
2000-01-14,-0.9174
2000-01-18,-1.5432000000000001
2000-01-19,-3.1348
2000-01-20,3.8834999999999997
2000-01-21,14.9533
2000-01-24,1.355
2000-01-25,0.5348
2000-01-26,-1.8617
2000-01-27,-2.71
2000-01-28,-1.1142
2000-01-31,-0.2817
2000-02-01,-1.6949
2000-02-02,0.8621
2000-02-03,4.5584
2000-02-04,-4.0872
2000-02-07,1.4205
2000-02-08,13.1653
2000-02-09,14.3564
2000-02-10,0.0
2000-02-11,-0.4329
2000-02-14,0.4348
2000-02-15,-2.8139
2000-02-16,-1.5590000000000002
2000-02-17,-2.2624
2000-02-18,0.0
2000-02-22,-0.463
2000-02-23,-0.2326
2000-02-24,-1.6317
2000-02-25,2.1327
2000-02-28,0.464
2000-02-29,2.0785
2000-03-01,7.9186
2000-03-02,-5.0314
2000-03-03,0.2208
2000-03-06,-3.9648
2000-03-07,0.6881
2000-03-08,-0.9112
2000-03-09,-2.069
2000-03-10,-1.4085
2000-03-13,0.2381
2000-03-14,-1.4252
2000-03-15,-0.7229
2000-03-16,2.1845
2000-03-17,-1.6627
2000-03-20,-1.9903
2000-03-21,-2.2277
2000-03-22,0.7595
2000-03-23,6.0302
2000-03-24,2.8436
2000-03-27,-0.9217
2000-03-28,0.0
2000-03-29,-0.6977
2000-03-30,-0.7026
2000-03-31,1.8868
2000-04-03,-3.7037
2000-04-04,-1.9231
2000-04-05,1.4706000000000001
2000-04-06,4.8309
2000-04-07,-0.9217
2000-04-10,0.9302
2000-04-11,2.0737
2000-04-12,-0.2257
2000-04-13,0.0
2000-04-14,-6.5611
2000-04-17,5.0847
2000-04-18,2.5346
2000-04-19,-1.573
2000-04-20,-4.7945
2000-04-24,-4.0767
2000-04-25,-0.75
2000-04-26,0.2519
2000-04-27,-3.7688
2000-04-28,-0.7833
2000-05-01,3.9474
2000-05-02,-3.2911
2000-05-03,1.0471
2000-05-04,3.6269
2000-05-05,6.5
2000-05-08,-2.3474
2000-05-09,-1.4423
2000-05-10,-2.6829
2000-05-11,2.7569
2000-05-12,0.9756
2000-05-15,-0.2415
2000-05-16,3.632
2000-05-17,-3.7382999999999997
2000-05-18,-3.8834999999999997
2000-05-19,-2.7778
2000-05-22,0.1974
