ticker,COC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.5327
2000-01-04,-1.3441
2000-01-05,1.3624
2000-01-06,6.4516
2000-01-07,0.5051
2000-01-10,1.005
2000-01-11,1.99
2000-01-12,-5.8537
2000-01-13,2.0725
2000-01-14,-2.0305
2000-01-18,5.4404
2000-01-19,0.4914
2000-01-20,-2.445
2000-01-21,6.5163
2000-01-24,-6.5882
2000-01-25,-2.5189
2000-01-26,3.6176
2000-01-27,-3.99
2000-01-28,-3.3766
2000-01-31,1.3441
2000-02-01,-0.2653
2000-02-02,-0.5319
2000-02-03,-3.2086
2000-02-04,-4.6961
2000-02-07,-0.5797
2000-02-08,-0.5714
2000-02-09,-0.5917
2000-02-10,0.2976
2000-02-11,-4.1543
2000-02-14,0.0
2000-02-15,-0.3096
2000-02-16,6.8323
2000-02-17,-0.5814
2000-02-18,-4.0936
2000-02-22,0.9146
2000-02-23,-0.6042
2000-02-24,-3.9514
2000-02-25,-2.2152
2000-02-28,0.6472
2000-02-29,1.2862
2000-03-01,4.4444
2000-03-02,4.2553
2000-03-03,0.8746
2000-03-06,-2.8902
2000-03-07,5.3571
2000-03-08,3.9548
2000-03-09,1.087
2000-03-10,0.0
2000-03-13,-1.0753
2000-03-14,-0.5435
2000-03-15,-0.2732
2000-03-16,4.9315
2000-03-17,-5.7440999999999995
2000-03-20,-1.385
2000-03-21,1.6854
2000-03-22,4.1436
2000-03-23,-1.8568
2000-03-24,-1.6216
2000-03-27,1.3736
2000-03-28,-3.523
2000-03-29,12.6404
2000-03-30,7.98
2000-03-31,-5.3118
2000-04-03,1.2195
2000-04-04,-0.7229
2000-04-05,-1.4563
2000-04-06,3.202
2000-04-07,-0.4773
2000-04-10,-2.6379
2000-04-11,-0.9852
2000-04-12,-0.4975
2000-04-13,-0.5
2000-04-14,-2.5126
2000-04-17,-2.0619
2000-04-18,1.3158
2000-04-19,0.0
2000-04-20,1.2987
2000-04-24,-0.5128
2000-04-25,0.2577
2000-04-26,0.0
2000-04-27,4.8843
2000-04-28,-2.451
2000-05-01,-1.7588
2000-05-02,0.0
2000-05-03,-0.2558
2000-05-04,0.0
2000-05-05,-0.2564
2000-05-08,5.1517
2000-05-09,0.4926
2000-05-10,-2.451
2000-05-11,5.0251
2000-05-12,1.0467
2000-05-15,0.3847
2000-05-16,-0.7075
2000-05-17,2.1378
2000-05-18,0.6977
2000-05-19,-1.6166
2000-05-22,2.1127
2000-05-23,0.2299
2000-05-24,-0.2294
