ticker,NFS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.8031
2000-01-04,-0.9302
2000-01-05,1.8779
2000-01-06,2.3041
2000-01-07,4.7297
2000-01-10,1.2903
2000-01-11,-2.7601
2000-01-12,-3.9301
2000-01-13,2.7273
2000-01-14,2.2124
2000-01-18,0.0
2000-01-19,-3.0303
2000-01-20,-2.6786
2000-01-21,-0.2294
2000-01-24,-2.7586
2000-01-25,-2.6005000000000003
2000-01-26,0.9709
2000-01-27,-0.2404
2000-01-28,-5.0602
2000-01-31,1.0152
2000-02-01,4.2714
2000-02-02,2.6506
2000-02-03,1.4085
2000-02-04,2.7778
2000-02-07,0.0
2000-02-08,1.1261
2000-02-09,-4.0089
2000-02-10,-2.5522
2000-02-11,-2.6189999999999998
2000-02-14,2.2005
2000-02-15,-2.8708
2000-02-16,-4.1872
2000-02-17,-1.0283
2000-02-18,-0.5195
2000-02-22,-1.8277
2000-02-23,0.5319
2000-02-24,-3.7037
2000-02-25,0.5495
2000-02-28,2.459
2000-02-29,-1.6
2000-03-01,5.1491
2000-03-02,-0.5155
2000-03-03,-2.0725
2000-03-06,-4.7619
2000-03-07,-4.4444
2000-03-08,-1.1628
2000-03-09,-2.3529
2000-03-10,0.9036
2000-03-13,-1.791
2000-03-14,-1.2158
2000-03-15,4.6154
2000-03-16,15.8824
2000-03-17,-2.5381
2000-03-20,4.9479
2000-03-21,11.1663
2000-03-22,-1.7856999999999998
2000-03-23,5.4545
2000-03-24,1.0776
2000-03-27,-4.2644
2000-03-28,-2.4499
2000-03-29,-0.4566
2000-03-30,1.2844
2000-03-31,6.3636
2000-04-03,5.9829
2000-04-04,-6.4516
2000-04-05,-0.2155
2000-04-06,-1.7279
2000-04-07,-2.1978
2000-04-10,2.2472
2000-04-11,1.7582
2000-04-12,1.2959
2000-04-13,-0.2132
2000-04-14,-7.0513
2000-04-17,-3.4483
2000-04-18,4.2857
2000-04-19,-2.7397
2000-04-20,2.8169
2000-04-24,5.2511
2000-04-25,8.243
2000-04-26,-8.4168
2000-04-27,-7.221
2000-04-28,5.1887
2000-05-01,5.3812
2000-05-02,-0.8511
2000-05-03,-3.2189
2000-05-04,-3.3259
2000-05-05,-1.6055000000000001
2000-05-08,1.6317
2000-05-09,-1.1468
2000-05-10,-0.6961
2000-05-11,3.271
2000-05-12,-2.2624
2000-05-15,0.0
2000-05-16,1.3889
2000-05-17,-1.5981999999999998
2000-05-18,-0.232
2000-05-19,0.2326
2000-05-22,2.0882
