ticker,NST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.1605
2000-01-04,-2.0505
2000-01-05,2.0934
2000-01-06,2.2082
2000-01-07,-0.625
2000-01-10,1.4151
2000-01-11,0.3101
2000-01-12,0.3091
2000-01-13,2.3112
2000-01-14,0.6024
2000-01-18,-1.6467
2000-01-19,2.5875
2000-01-20,3.5608
2000-01-21,1.8625
2000-01-24,-0.9845
2000-01-25,-2.5568
2000-01-26,1.4577
2000-01-27,-3.0172
2000-01-28,-1.9259
2000-01-31,1.3595
2000-02-01,-1.0432
2000-02-02,0.1506
2000-02-03,2.406
2000-02-04,-1.909
2000-02-07,-1.9461
2000-02-08,0.6107
2000-02-09,1.0622
2000-02-10,-2.7027
2000-02-11,-1.6975
2000-02-14,0.471
2000-02-15,1.25
2000-02-16,-0.7716
2000-02-17,-0.1555
2000-02-18,2.1807
2000-02-22,2.1341
2000-02-23,-1.6418
2000-02-24,-3.0349
2000-02-25,-0.939
2000-02-28,2.6856
2000-02-29,0.7692
2000-03-01,-3.2061
2000-03-02,2.9968
2000-03-03,-1.2251
2000-03-06,-1.8605
2000-03-07,0.0
2000-03-08,-0.6319
2000-03-09,0.318
2000-03-10,-0.4754
2000-03-13,-1.2739
2000-03-14,-1.2903
2000-03-15,1.634
2000-03-16,4.1801
2000-03-17,-0.7716
2000-03-20,0.9331
2000-03-21,0.1541
2000-03-22,0.6154
2000-03-23,2.1407
2000-03-24,1.0479
2000-03-27,0.5926
2000-03-28,-2.5037000000000003
2000-03-29,0.7553
2000-03-30,0.4498
2000-03-31,0.2985
2000-04-03,-1.6369
2000-04-04,-0.1513
2000-04-05,1.6667
2000-04-06,-0.2981
2000-04-07,-0.1513
2000-04-10,0.6061
2000-04-11,0.6024
2000-04-12,0.0
2000-04-13,0.7485
2000-04-14,-0.7429
2000-04-17,0.5988
2000-04-18,0.0
2000-04-19,-1.6369
2000-04-20,1.6641
2000-04-24,1.7856999999999998
2000-04-25,0.2924
2000-04-26,3.4985
2000-04-27,-0.7042
2000-04-28,0.0
2000-05-01,2.2695
2000-05-02,-2.9126
2000-05-03,-2.1429
2000-05-04,2.9196999999999997
2000-05-05,-1.2766
2000-05-08,3.3045999999999998
2000-05-09,-0.2782
2000-05-10,-2.6499
2000-05-11,3.0086
2000-05-12,-1.9471
2000-05-15,-0.5674
2000-05-16,-1.5692
2000-05-17,-0.5797
2000-05-18,1.6035
2000-05-19,-1.2912
2000-05-22,-1.7442
2000-05-23,-0.2959
