ticker,MRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.2079
2000-01-04,-2.7083
2000-01-05,-0.8565
2000-01-06,2.8078
2000-01-07,1.2605
2000-01-10,6.2241
2000-01-11,-0.7813
2000-01-12,0.3937
2000-01-13,-0.3922
2000-01-14,0.9843
2000-01-18,1.9493
2000-01-19,-0.7648
2000-01-20,-0.3854
2000-01-21,-1.354
2000-01-24,1.5686
2000-01-25,-1.5444
2000-01-26,4.5098
2000-01-27,-0.1876
2000-01-28,-3.7594
2000-01-31,-2.9297
2000-02-01,-1.8109
2000-02-02,-3.6885
2000-02-03,-6.1702
2000-02-04,3.8548999999999998
2000-02-07,4.5852
2000-02-08,-2.714
2000-02-09,-0.4292
2000-02-10,6.8966
2000-02-11,-0.4032
2000-02-14,0.0
2000-02-15,-3.8462
2000-02-16,-10.3158
2000-02-17,1.4085
2000-02-18,-5.787
2000-02-22,1.9656
2000-02-23,10.1205
2000-02-24,10.5033
2000-02-25,8.7129
