ticker,HRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1834
2000-01-04,-0.5988
2000-01-05,-0.4016
2000-01-06,3.629
2000-01-07,5.4475
2000-01-10,-0.9225
2000-01-11,-2.2346
2000-01-12,1.3333
2000-01-13,8.4586
2000-01-14,-0.8666
2000-01-18,0.3497
2000-01-19,3.4843
2000-01-20,2.5253
2000-01-21,-0.1642
2000-01-24,0.0
2000-01-25,-2.7961
2000-01-26,-6.0914
2000-01-27,1.0811
2000-01-28,2.1390000000000002
2000-01-31,-5.0611
2000-02-01,-0.5515
2000-02-02,2.9575
2000-02-03,-0.8977
2000-02-04,0.3623
2000-02-07,-3.9711
2000-02-08,-0.5639
2000-02-09,-1.8526
2000-02-10,-0.969
2000-02-11,-2.1526
2000-02-14,-1.4
2000-02-15,1.217
2000-02-16,0.2004
2000-02-17,0.2
2000-02-18,-0.7984
2000-02-22,0.0
2000-02-23,0.0
2000-02-24,-3.6217
2000-02-25,1.2526
2000-02-28,-1.0309
2000-02-29,1.25
2000-03-01,0.823
2000-03-02,-2.0408
2000-03-03,2.5
2000-03-06,0.6098
2000-03-07,-3.4343
2000-03-08,0.4184
2000-03-09,1.0417
2000-03-10,-1.4433
2000-03-13,-0.8368
2000-03-14,0.6329
2000-03-15,2.7254
2000-03-16,8.3673
2000-03-17,-5.0847
2000-03-20,1.9841
2000-03-21,0.3891
2000-03-22,2.5194
2000-03-23,-0.9452
2000-03-24,0.1908
2000-03-27,-4.381
2000-03-28,1.7928
2000-03-29,-0.3914
2000-03-30,0.5894
2000-03-31,6.25
2000-04-03,-2.2059
2000-04-04,-3.7594
2000-04-05,1.5625
2000-04-06,0.0
2000-04-07,-7.3077
2000-04-10,3.527
2000-04-11,0.2004
2000-04-12,0.6
2000-04-13,-0.3976
2000-04-14,-5.9879999999999995
2000-04-17,1.0616
2000-04-18,6.9748
2000-04-19,-1.1858
2000-04-20,-0.8
2000-04-24,-0.6048
2000-04-25,0.2028
2000-04-26,0.4049
2000-04-27,-1.6129
2000-04-28,-1.2295
2000-05-01,0.0
2000-05-02,0.2075
2000-05-03,-3.7267
2000-05-04,9.2473
2000-05-05,-2.5591
2000-05-08,-0.404
2000-05-09,3.4483
2000-05-10,-3.5294
2000-05-11,5.4878
2000-05-12,-2.5048
2000-05-15,1.581
2000-05-16,0.5837
2000-05-17,-0.3868
2000-05-18,-0.9709
2000-05-19,-4.1176
2000-05-22,-0.6135
2000-05-23,1.6461000000000001
2000-05-24,0.4049
