ticker,WGRP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-8.1081
2000-01-04,0.0
2000-01-05,-1.4706000000000001
2000-01-06,0.0
2000-01-07,13.4328
2000-01-10,5.2632
2000-01-11,0.0
2000-01-12,-3.75
2000-01-13,5.1948
2000-01-14,-1.2346
2000-01-18,0.0
2000-01-19,6.25
2000-01-20,17.647100000000002
2000-01-21,-4.0
2000-01-24,-2.0833
2000-01-25,2.1277
2000-01-26,4.1667
2000-01-27,-4.0
2000-01-28,-3.125
2000-01-31,3.2258
2000-02-01,-3.125
2000-02-02,3.2258
2000-02-03,-3.125
2000-02-04,-2.1505
2000-02-07,13.1868
2000-02-08,-3.8834999999999997
2000-02-09,-5.0505
2000-02-10,-2.1277
2000-02-11,5.4348
2000-02-14,-1.0309
2000-02-15,0.0
2000-02-16,-2.0833
2000-02-17,-2.1277
2000-02-18,3.2609
2000-02-22,-2.1053
2000-02-23,4.3011
2000-02-24,-1.0309
2000-02-25,8.3333
2000-02-28,-5.7692
2000-02-29,3.0612
2000-03-01,1.9802
2000-03-02,1.9417
2000-03-03,-3.8095
2000-03-06,-0.9901
2000-03-07,4.0
2000-03-08,5.7692
2000-03-09,-1.8182
2000-03-10,-5.5556
2000-03-13,4.902
2000-03-14,-2.8037
2000-03-15,0.0
2000-03-16,-0.9615
2000-03-17,-3.8834999999999997
2000-03-20,0.0
2000-03-21,1.0101
2000-03-22,-5.0
2000-03-23,5.2632
2000-03-24,0.0
2000-03-27,4.0
2000-03-28,5.7692
2000-03-29,-3.6364
2000-03-30,-0.9434
2000-03-31,8.5714
2000-04-03,1.7544
2000-04-04,-8.6207
2000-04-05,-3.7736
2000-04-06,-0.9804
2000-04-07,-1.9802
2000-04-10,5.0505
2000-04-11,-4.8077
2000-04-12,-4.0404
2000-04-13,3.1579
2000-04-14,-4.0816
2000-04-17,-3.1915
2000-04-18,2.1978
2000-04-19,-8.6022
2000-04-20,2.3529
2000-04-24,-6.8966
2000-04-25,1.2346
2000-04-26,2.439
2000-04-27,-1.1905000000000001
2000-04-28,0.0
2000-05-01,6.0241
2000-05-02,2.2727
2000-05-03,-3.3333
2000-05-04,-1.1494
2000-05-05,-1.1628
2000-05-08,0.0
2000-05-09,1.1764999999999999
2000-05-10,2.3256
2000-05-11,-2.2727
2000-05-12,0.0
2000-05-15,11.6279
2000-05-16,-3.125
2000-05-17,1.0753
2000-05-18,8.5106
2000-05-19,-2.9412000000000003
2000-05-22,3.0303
2000-05-23,-0.9804
