ticker,FVB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.2326
2000-01-04,-3.681
2000-01-05,0.9554
2000-01-06,0.9464
2000-01-07,-0.9375
2000-01-10,-1.7349999999999999
2000-01-11,-0.9631
2000-01-12,-0.3241
2000-01-13,1.9512
2000-01-14,0.9569
2000-01-18,-1.4218
2000-01-19,-1.7628
2000-01-20,-3.0995
2000-01-21,-0.6734
2000-01-24,-2.7119
2000-01-25,2.6132
2000-01-26,1.6978
2000-01-27,0.0
2000-01-28,-2.1703
2000-01-31,3.413
2000-02-01,2.1452
2000-02-02,-2.9079
2000-02-03,-2.4958
2000-02-04,0.3413
2000-02-07,-1.0204
2000-02-08,1.7182
2000-02-09,-2.5338000000000003
2000-02-10,-2.9463
2000-02-11,-0.7143
2000-02-14,-4.8561
2000-02-15,5.104
2000-02-16,-1.9784000000000002
2000-02-17,-1.4679
2000-02-18,-2.4209
2000-02-22,0.0
2000-02-23,-0.7634
2000-02-24,-1.3462
2000-02-25,-0.9747
2000-02-28,0.5906
2000-02-29,-1.3699
2000-03-01,1.3889
2000-03-02,-1.7612999999999999
2000-03-03,0.996
2000-03-06,-1.1834
2000-03-07,-3.5928
2000-03-08,-0.8282
2000-03-09,2.0877
2000-03-10,-1.227
2000-03-13,-0.8282
2000-03-14,2.714
2000-03-15,7.7236
2000-03-16,10.1887
2000-03-17,1.1985999999999999
2000-03-20,-4.5685
2000-03-21,4.4326
2000-03-22,1.528
2000-03-23,1.1706
2000-03-24,-0.1653
2000-03-27,-3.4768
2000-03-28,0.6861
2000-03-29,-0.8927
2000-03-30,-1.5625
2000-03-31,5.9965
2000-04-03,0.8319
2000-04-04,-0.165
2000-04-05,0.8264
2000-04-06,-1.3115
2000-04-07,-2.8239
2000-04-10,0.0
2000-04-11,1.5385
2000-04-12,1.0101
2000-04-13,-1.0
2000-04-14,-2.3569
2000-04-17,2.2414
2000-04-18,2.1922
2000-04-19,-1.1551
2000-04-20,0.8347
2000-04-24,0.3311
2000-04-25,3.3003
2000-04-26,-2.7157
2000-04-27,-3.6125
2000-04-28,-0.5111
2000-05-01,1.8836
2000-05-02,-0.8403
2000-05-03,-2.5423999999999998
2000-05-04,-1.2174
2000-05-05,0.7042
2000-05-08,2.972
2000-05-09,2.2071
2000-05-10,-3.1561
2000-05-11,4.2882
2000-05-12,-0.1645
2000-05-15,1.6474
2000-05-16,-0.3241
2000-05-17,-1.1381999999999999
2000-05-18,3.4539
2000-05-19,-4.1335
