ticker,ESL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.5405
2000-01-04,-2.6882
2000-01-05,2.2099
2000-01-06,-3.6486
2000-01-07,2.1038
2000-01-10,1.0989
2000-01-11,5.4348
2000-01-12,-8.2474
2000-01-13,5.618
2000-01-14,4.7872
2000-01-18,5.5838
2000-01-19,-3.8462
2000-01-20,-2.0
2000-01-21,-5.6122
2000-01-24,-2.7027
2000-01-25,5.5556
2000-01-26,1.0526
2000-01-27,-4.6875
2000-01-28,-0.5464
2000-01-31,-1.6484
2000-02-01,0.0
2000-02-02,1.6760000000000002
2000-02-03,0.5495
2000-02-04,-0.5464
2000-02-07,-1.6484
2000-02-08,-3.9106
2000-02-09,-1.1628
2000-02-10,-4.1176
2000-02-11,0.6135
2000-02-14,-2.439
2000-02-15,-0.625
2000-02-16,0.6289
2000-02-17,0.0
2000-02-18,1.25
2000-02-22,-1.8519
2000-02-23,1.8868
2000-02-24,2.4691
2000-02-25,6.0241
2000-02-28,2.2727
2000-02-29,-1.1111
2000-03-01,-2.2472
2000-03-02,-8.046
2000-03-03,-2.5
2000-03-06,-0.641
2000-03-07,9.6774
2000-03-08,-1.1764999999999999
2000-03-09,-0.5952
2000-03-10,-5.9879999999999995
2000-03-13,2.5478
2000-03-14,3.1056
2000-03-15,3.012
2000-03-16,2.3392
2000-03-17,0.5714
2000-03-20,2.2727
2000-03-21,4.4444
2000-03-22,9.5745
2000-03-23,1.4563
2000-03-24,-0.4785
2000-03-27,-4.3269
2000-03-28,-3.5176
2000-03-29,2.6042
2000-03-30,1.5228000000000002
2000-03-31,4.0
2000-04-03,-9.1346
2000-04-04,-10.0529
2000-04-05,5.8824
2000-04-06,3.3333
2000-04-07,-1.6129
2000-04-10,0.5464
2000-04-11,3.2609
2000-04-12,-5.2632
2000-04-13,-2.2222
2000-04-14,-3.4091
2000-04-17,0.0
2000-04-18,1.1764999999999999
2000-04-19,-0.5814
2000-04-20,4.0936
2000-04-24,-1.1236
2000-04-25,3.4091
2000-04-26,3.2967
2000-04-27,0.0
2000-04-28,3.1915
2000-05-01,3.6082
2000-05-02,0.4975
2000-05-03,0.9901
2000-05-04,0.0
2000-05-05,0.9804
2000-05-08,5.8252
2000-05-09,-0.9174
2000-05-10,-3.7037
2000-05-11,1.9231
2000-05-12,1.8868
2000-05-15,-1.8519
2000-05-16,2.8302
2000-05-17,4.5872
2000-05-18,-3.0702
2000-05-19,-0.4525
2000-05-22,-0.9091
2000-05-23,1.8349
