ticker,DVERQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-1.2195
2000-01-05,-2.4691
2000-01-06,0.0
2000-01-07,1.2658
2000-01-10,0.0
2000-01-11,-2.5
2000-01-12,1.2821
2000-01-13,0.0
2000-01-14,1.2658
2000-01-18,1.25
2000-01-19,1.2346
2000-01-20,1.2195
2000-01-21,-6.0241
2000-01-24,-2.5641
2000-01-25,7.8947
2000-01-26,-6.0976
2000-01-27,-1.2987
2000-01-28,-2.6316
2000-01-31,2.7027
2000-02-01,1.3158
2000-02-02,10.3896
2000-02-03,2.3529
2000-02-04,-8.046
2000-02-07,2.5
2000-02-08,-3.6585
2000-02-09,0.0
2000-02-10,1.2658
2000-02-11,7.5
2000-02-14,2.3256
2000-02-15,0.0
2000-02-16,2.2727
2000-02-17,4.4444
2000-02-18,-3.1915
2000-02-22,-1.0989
2000-02-23,-2.2222
2000-02-24,7.9545
2000-02-25,-3.1579
2000-02-28,-4.3478
2000-02-29,0.0
2000-03-01,-3.4091
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,1.1764999999999999
2000-03-07,0.0
2000-03-08,-1.1628
2000-03-09,1.1764999999999999
2000-03-10,2.3256
2000-03-13,-3.4091
2000-03-14,-3.5294
2000-03-15,2.439
2000-03-16,4.7619
2000-03-17,-3.4091
2000-03-20,2.3529
2000-03-21,0.0
2000-03-22,-1.1494
2000-03-23,2.3256
2000-03-24,-2.2727
2000-03-27,1.1628
2000-03-28,10.3448
2000-03-29,6.25
2000-03-30,-4.902
2000-03-31,6.1856
2000-04-03,-2.9126
2000-04-04,-2.0
2000-04-05,-4.0816
2000-04-06,1.0638
2000-04-07,-1.0526
2000-04-10,-7.4468
2000-04-11,-3.4483
2000-04-12,2.3810000000000002
2000-04-13,0.0
2000-04-14,1.1628
2000-04-17,1.1494
2000-04-18,-3.4091
2000-04-19,3.5294
2000-04-20,3.4091
2000-04-24,2.1978
2000-04-25,1.0753
2000-04-26,1.0638
2000-04-27,-1.0526
2000-04-28,-3.1915
2000-05-01,1.0989
2000-05-02,2.1739
2000-05-03,0.0
2000-05-04,-1.0638
2000-05-05,-3.2258
2000-05-08,-2.2222
2000-05-09,0.0
2000-05-10,0.0
2000-05-11,-1.1364
2000-05-12,-2.2989
2000-05-15,2.3529
2000-05-16,1.1494
2000-05-17,-2.2727
2000-05-18,-1.1628
2000-05-19,-1.1764999999999999
2000-05-22,-8.3333
2000-05-23,0.0
2000-05-24,0.0
