ticker,KNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.5495
2000-01-04,-6.6298
2000-01-05,2.071
2000-01-06,-2.6087
2000-01-07,-1.1905000000000001
2000-01-10,5.7229
2000-01-11,0.0
2000-01-12,-0.2849
2000-01-13,2.8571
2000-01-14,11.9444
2000-01-18,0.2481
2000-01-19,0.0
2000-01-20,-3.9604
2000-01-21,0.5155
2000-01-24,0.2564
2000-01-25,-0.5115
2000-01-26,0.0
2000-01-27,-1.0283
2000-01-28,-0.7792
2000-01-31,-4.712
2000-02-01,0.2747
2000-02-02,9.589
2000-02-03,14.5
2000-02-04,-2.6201
2000-02-07,3.3632
2000-02-08,-0.6508
2000-02-09,2.1834
2000-02-10,-0.8547
2000-02-11,-3.0172
2000-02-14,2.8889
2000-02-15,-3.4557
2000-02-16,-1.5659999999999998
2000-02-17,1.8182
2000-02-18,-0.4464
2000-02-22,2.9148
2000-02-23,4.5752
2000-02-24,-0.2083
2000-02-25,10.8559
2000-02-28,2.0716
2000-02-29,0.0
2000-03-01,2.952
2000-03-02,-1.7921
2000-03-03,-1.2774
2000-03-06,-3.3272
2000-03-07,-5.7361
2000-03-08,5.6795
2000-03-09,0.3839
2000-03-10,1.1472
2000-03-13,-3.7807
2000-03-14,-3.5362999999999998
2000-03-15,-3.8697
2000-03-16,6.5678
2000-03-17,-0.994
2000-03-20,0.0
2000-03-21,1.2048
2000-03-22,1.5873
2000-03-23,-0.9766
2000-03-24,0.9862
2000-03-27,-0.7813
2000-03-28,1.3780000000000001
2000-03-29,-4.8544
2000-03-30,-8.5714
2000-03-31,4.2411
2000-04-03,-4.2827
2000-04-04,-6.7114
2000-04-05,7.1942
2000-04-06,6.9351
2000-04-07,3.1381
2000-04-10,-3.4483
2000-04-11,-2.521
2000-04-12,-4.9569
2000-04-13,-3.4013999999999998
2000-04-14,-7.5117
2000-04-17,2.7919
2000-04-18,11.1111
2000-04-19,-3.1111
2000-04-20,-4.5872
2000-04-24,-6.7308
2000-04-25,4.8969000000000005
2000-04-26,4.914
2000-04-27,1.8735
2000-04-28,7.3563
2000-05-01,-1.2848
2000-05-02,4.3384
2000-05-03,-6.237
2000-05-04,0.2217
2000-05-05,5.9735
2000-05-08,-2.5052
2000-05-09,6.2099
2000-05-10,0.6048
2000-05-11,-2.8056
2000-05-12,0.6186
2000-05-15,1.6393
2000-05-16,0.4032
2000-05-17,-1.2048
2000-05-18,-2.0325
2000-05-19,-4.9793
2000-05-22,-1.31
