ticker,SKY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.5319
2000-01-04,-2.3810000000000002
2000-01-05,-0.271
2000-01-06,-0.2717
2000-01-07,-1.6349
2000-01-10,3.8781
2000-01-11,1.0667
2000-01-12,3.6939
2000-01-13,-0.2545
2000-01-14,-1.5306
2000-01-18,-2.5907
2000-01-19,2.3936
2000-01-20,-0.7792
2000-01-21,-2.0942
2000-01-24,-0.5348
2000-01-25,-2.6882
2000-01-26,-1.3812
2000-01-27,-1.1204
2000-01-28,-2.2663
2000-01-31,-7.2464
2000-02-01,-0.625
2000-02-02,5.6604
2000-02-03,7.7381
2000-02-04,-3.0387
2000-02-07,1.4245
2000-02-08,2.809
2000-02-09,0.8197
2000-02-10,-4.065
2000-02-11,0.0
2000-02-14,-0.565
2000-02-15,3.4091
2000-02-16,-1.6484
2000-02-17,-1.3966
2000-02-18,0.0
2000-02-22,-1.6997
2000-02-23,-2.3055
2000-02-24,-2.9499
2000-02-25,0.6079
2000-02-28,0.6042
2000-02-29,3.3033
2000-03-01,-1.7442
2000-03-02,0.8876
2000-03-03,0.0
2000-03-06,-1.4663
2000-03-07,-0.5952
2000-03-08,0.0
2000-03-09,-2.3952
2000-03-10,-0.9202
2000-03-13,-1.8576000000000001
2000-03-14,-1.5773000000000001
2000-03-15,-1.641
2000-03-16,-0.9868
2000-03-17,-4.9834
2000-03-20,10.8392
2000-03-21,3.1546
2000-03-22,-0.3058
2000-03-23,-1.227
2000-03-24,4.0373
2000-03-27,5.0746
2000-03-28,1.1364
2000-03-29,0.8427
2000-03-30,-1.6713
2000-03-31,-1.6997
2000-04-03,3.7464
2000-04-04,-7.7778
2000-04-05,0.0
2000-04-06,0.3012
2000-04-07,-1.8018
2000-04-10,-0.9174
2000-04-11,0.0
2000-04-12,-1.2346
2000-04-13,0.0
2000-04-14,1.25
2000-04-17,-2.4691
2000-04-18,2.5316
2000-04-19,-0.6173
2000-04-20,4.9689
2000-04-24,-5.3254
2000-04-25,1.875
2000-04-26,1.8405
2000-04-27,-1.506
2000-04-28,-0.3058
2000-05-01,0.6135
2000-05-02,-1.2195
2000-05-03,-0.3086
2000-05-04,1.548
2000-05-05,-1.5244
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-0.9288
2000-05-11,-0.3125
2000-05-12,0.9404
2000-05-15,1.2422
2000-05-16,-0.6135
2000-05-17,0.6173
2000-05-18,0.3067
2000-05-19,0.0
2000-05-22,0.0
2000-05-23,-0.3058
