ticker,CPE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.9072
2000-01-04,-1.3453
2000-01-05,-0.4545
2000-01-06,1.3699
2000-01-07,-0.4505
2000-01-10,-2.2624
2000-01-11,-0.463
2000-01-12,0.4651
2000-01-13,-0.463
2000-01-14,-3.2558
2000-01-18,-1.9231
2000-01-19,3.9215999999999998
2000-01-20,-2.3585
2000-01-21,1.4493
2000-01-24,0.4762
2000-01-25,-4.2654
2000-01-26,-0.9901
2000-01-27,-2.0
2000-01-28,1.0204
2000-01-31,-3.0303
2000-02-01,2.0833
2000-02-02,3.0612
2000-02-03,5.9406
2000-02-04,0.0
2000-02-07,-1.8692
2000-02-08,0.0
2000-02-09,-2.3810000000000002
2000-02-10,0.4878
2000-02-11,0.9709
2000-02-14,1.4423
2000-02-15,5.6872
2000-02-16,0.8969
2000-02-17,0.0
2000-02-18,-1.3333
2000-02-22,-1.3514
2000-02-23,-2.2831
2000-02-24,-0.4673
2000-02-25,-2.3474
2000-02-28,1.4423
2000-02-29,6.1611
2000-03-01,4.4643
2000-03-02,1.7094
2000-03-03,0.8403
2000-03-06,-2.0833
2000-03-07,0.4255
2000-03-08,0.0
2000-03-09,1.6949
2000-03-10,3.75
2000-03-13,-1.2048
2000-03-14,0.813
2000-03-15,-0.8065
2000-03-16,-2.0325
2000-03-17,-22.8216
2000-03-20,0.0
2000-03-21,-6.4516
2000-03-22,-3.4483
2000-03-23,-1.1905000000000001
2000-03-24,-1.2048
2000-03-27,10.9756
2000-03-28,-2.7473
2000-03-29,0.0
2000-03-30,2.8249
2000-03-31,6.5934
2000-04-03,-1.0309
2000-04-04,-4.6875
2000-04-05,2.1858
2000-04-06,1.6042999999999998
2000-04-07,1.0526
2000-04-10,-1.0417
2000-04-11,-1.0526
2000-04-12,1.0638
2000-04-13,-3.1579
2000-04-14,-4.3478
2000-04-17,-1.7045
2000-04-18,0.0
2000-04-19,-0.578
2000-04-20,1.1628
2000-04-24,3.4483
2000-04-25,6.6667
2000-04-26,-2.0833
2000-04-27,14.8936
2000-04-28,0.463
2000-05-01,3.6866
2000-05-02,-1.7778
2000-05-03,0.4525
2000-05-04,-3.6036
2000-05-05,0.9346
2000-05-08,0.9259
2000-05-09,-0.9174
2000-05-10,-1.8519
2000-05-11,2.3585
2000-05-12,0.9217
2000-05-15,-1.8265
2000-05-16,-2.3256
2000-05-17,1.9048
2000-05-18,0.0
2000-05-19,1.8692
2000-05-22,0.9174
2000-05-23,2.2727
