ticker,URS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.2882
2000-01-04,-0.5747
2000-01-05,-2.3121
2000-01-06,-1.7751000000000001
2000-01-07,0.3012
2000-01-10,3.9039
2000-01-11,-0.8671
2000-01-12,-4.9563
2000-01-13,-1.227
2000-01-14,-2.1739
2000-01-18,-0.6349
2000-01-19,-1.278
2000-01-20,-4.2071
2000-01-21,-1.6892
2000-01-24,3.4364
2000-01-25,-0.6645
2000-01-26,1.6722000000000001
2000-01-27,-2.9605
2000-01-28,-5.0847
2000-01-31,-0.7143
2000-02-01,-2.8777
2000-02-02,-3.3333
2000-02-03,-2.2989
2000-02-04,0.0
2000-02-07,0.7843
2000-02-08,-0.7782
2000-02-09,-1.1764999999999999
2000-02-10,1.5873
2000-02-11,0.0
2000-02-14,0.0
2000-02-15,0.0
2000-02-16,-0.3906
2000-02-17,-16.8627
2000-02-18,-6.1321
2000-02-22,0.0
2000-02-23,-2.5126
2000-02-24,4.1237
2000-02-25,-1.4851
2000-02-28,8.0402
2000-02-29,1.3953
2000-03-01,0.0
2000-03-02,2.7523
2000-03-03,-3.5714
2000-03-06,-1.8519
2000-03-07,-1.8868
2000-03-08,-2.8846
2000-03-09,-0.495
2000-03-10,1.99
2000-03-13,1.4634
2000-03-14,1.9231
2000-03-15,-1.8868
2000-03-16,2.8846
2000-03-17,3.271
2000-03-20,4.5249
2000-03-21,-0.8658
2000-03-22,-0.4367
2000-03-23,-3.5088
2000-03-24,-0.9091
2000-03-27,-1.3761
2000-03-28,-5.1163
2000-03-29,-0.4902
2000-03-30,-0.4926
2000-03-31,3.9604
2000-04-03,0.9524
2000-04-04,-5.1887
2000-04-05,-2.4876
2000-04-06,3.5714
2000-04-07,1.4778
2000-04-10,-2.9126
2000-04-11,-4.5
2000-04-12,-3.1414
2000-04-13,1.0811
2000-04-14,1.6042999999999998
2000-04-17,-6.3158
2000-04-18,3.3708
2000-04-19,3.8043
2000-04-20,2.0942
2000-04-24,0.5128
2000-04-25,0.0
2000-04-26,1.5306
2000-04-27,0.0
2000-04-28,2.5126
2000-05-01,0.0
2000-05-02,-0.4902
2000-05-03,0.4926
2000-05-04,1.9607999999999999
2000-05-05,2.4038
2000-05-08,4.2254
2000-05-09,-2.7027
2000-05-10,-0.463
2000-05-11,-0.9302
2000-05-12,0.0
2000-05-15,0.0
2000-05-16,0.0
2000-05-17,-1.8779
2000-05-18,-0.9569
2000-05-19,1.4493
2000-05-22,0.9524
2000-05-23,-0.4717
