ticker,DTGF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.4386
2000-01-04,-9.0164
2000-01-05,-2.7027
2000-01-06,-1.8519
2000-01-07,2.5157
2000-01-10,-1.227
2000-01-11,-0.6211
2000-01-12,4.0625
2000-01-13,8.1081
2000-01-14,-0.2778
2000-01-18,2.2284
2000-01-19,3.5422000000000002
2000-01-20,-4.4737
2000-01-21,-9.9174
2000-01-24,0.6116
2000-01-25,2.1277
2000-01-26,-2.3810000000000002
2000-01-27,-3.0488
2000-01-28,0.0
2000-01-31,-0.3145
2000-02-01,1.2618
2000-02-02,0.6231
2000-02-03,1.8576000000000001
2000-02-04,0.0
2000-02-07,-2.1277
2000-02-08,-2.4845
2000-02-09,-4.7771
2000-02-10,-4.0134
2000-02-11,0.0
2000-02-14,-1.0453
2000-02-15,-5.9859
2000-02-16,-1.4981
2000-02-17,1.1407
2000-02-18,-3.7594
2000-02-22,-5.0781
2000-02-23,-1.6461000000000001
2000-02-24,-2.9289
2000-02-25,-1.7241
2000-02-28,0.8772
2000-02-29,-8.6957
2000-03-01,7.619
2000-03-02,0.885
2000-03-03,0.8772
2000-03-06,-3.9130000000000003
2000-03-07,-5.8824
2000-03-08,-8.1731
2000-03-09,2.0942
2000-03-10,-6.6667
2000-03-13,2.1978
2000-03-14,0.0
2000-03-15,2.1505
2000-03-16,15.2632
2000-03-17,0.4566
2000-03-20,1.3636
2000-03-21,3.1390000000000002
2000-03-22,11.3043
2000-03-23,3.125
2000-03-24,-1.1364
2000-03-27,-3.0651
2000-03-28,-3.9526
2000-03-29,4.1152
2000-03-30,5.5336
2000-03-31,2.9962999999999997
2000-04-03,4.7273
2000-04-04,-4.5139
2000-04-05,-1.0909
2000-04-06,0.0
2000-04-07,-0.7353
2000-04-10,-0.7407
2000-04-11,-0.3731
2000-04-12,1.8727
2000-04-13,-0.3676
2000-04-14,-3.321
2000-04-17,-9.1603
2000-04-18,6.7227
2000-04-19,13.3858
2000-04-20,3.4722
2000-04-24,4.0268
2000-04-25,3.5484
2000-04-26,0.6231
2000-04-27,0.0
2000-04-28,4.0248
2000-05-01,0.0
2000-05-02,-5.6548
2000-05-03,-3.7855
2000-05-04,4.5902
2000-05-05,3.1348
2000-05-08,-1.5198
2000-05-09,-3.3951000000000002
2000-05-10,0.3195
2000-05-11,1.9108
2000-05-12,-0.625
2000-05-15,-1.8868
2000-05-16,0.3205
2000-05-17,-7.0288
2000-05-18,-1.3746
2000-05-19,1.7422
