ticker,GES US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.5977
2000-01-04,-4.2169
2000-01-05,-2.5157
2000-01-06,-0.3226
2000-01-07,2.9126
2000-01-10,9.434
2000-01-11,-0.8621
2000-01-12,6.6667
2000-01-13,5.9783
2000-01-14,-1.5385
2000-01-18,-4.4271
2000-01-19,2.7248
2000-01-20,-2.9177999999999997
2000-01-21,3.8251
2000-01-24,-3.1579
2000-01-25,2.9891
2000-01-26,0.7916
2000-01-27,-0.5236
2000-01-28,-1.0526
2000-01-31,-0.266
2000-02-01,-1.8667
2000-02-02,4.0761
2000-02-03,3.1332
2000-02-04,1.7722
2000-02-07,8.7065
2000-02-08,-2.0595
2000-02-09,5.1402
2000-02-10,-0.8889
2000-02-11,0.6726
2000-02-14,-1.1136
2000-02-15,-11.9369
2000-02-16,-8.9514
2000-02-17,-1.9663
2000-02-18,-4.298
2000-02-22,2.6946
2000-02-23,-1.1662
2000-02-24,0.885
2000-02-25,2.6316
2000-02-28,-2.2792
2000-02-29,-0.5831
2000-03-01,-1.7595
2000-03-02,-1.4925
2000-03-03,0.303
2000-03-06,5.7402
2000-03-07,-0.8571
2000-03-08,-6.9164
2000-03-09,5.8824
2000-03-10,9.6491
2000-03-13,-2.4
2000-03-14,1.0929
2000-03-15,9.7297
2000-03-16,3.6946
2000-03-17,4.9881
2000-03-20,-0.905
2000-03-21,-0.2283
2000-03-22,0.0
2000-03-23,7.5515
2000-03-24,-1.9149
2000-03-27,-0.6508
2000-03-28,-2.6201
2000-03-29,2.9148
2000-03-30,9.5861
2000-03-31,1.7893
2000-04-03,-4.1016
2000-04-04,-4.4807
2000-04-05,1.0661
2000-04-06,-6.962
2000-04-07,-0.2268
2000-04-10,2.9545
2000-04-11,-2.649
2000-04-12,-3.8548999999999998
2000-04-13,4.4811
2000-04-14,2.9345
2000-04-17,0.4386
2000-04-18,2.4017
2000-04-19,0.2132
2000-04-20,2.5532
2000-04-24,-4.1494
2000-04-25,-1.0823
2000-04-26,1.0941
2000-04-27,-3.0303
2000-04-28,-1.7856999999999998
2000-05-01,1.1364
2000-05-02,-20.0
2000-05-03,-10.3933
2000-05-04,-3.7618
2000-05-05,-3.9088000000000003
2000-05-08,-1.0169
2000-05-09,-1.3699
2000-05-10,-0.3472
2000-05-11,-0.3484
2000-05-12,-0.3497
2000-05-15,0.7018
2000-05-16,-2.0906
2000-05-17,-2.847
2000-05-18,-1.8315000000000001
2000-05-19,0.7463
2000-05-22,1.4815
