ticker,ROL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.25
2000-01-04,-0.823
2000-01-05,-0.4149
2000-01-06,0.8333
2000-01-07,0.8264
2000-01-10,0.8197
2000-01-11,-0.4065
2000-01-12,0.0
2000-01-13,-0.4082
2000-01-14,0.4098
2000-01-18,-1.2245
2000-01-19,-0.4132
2000-01-20,0.8299
2000-01-21,-1.2346
2000-01-24,-2.9167
2000-01-25,1.2876
2000-01-26,0.4237
2000-01-27,-1.2658
2000-01-28,-1.7094
2000-01-31,7.8261
2000-02-01,-1.2097
2000-02-02,1.2245
2000-02-03,0.8065
2000-02-04,0.4
2000-02-07,0.0
2000-02-08,1.9123999999999999
2000-02-09,-0.3922
2000-02-10,0.7874
2000-02-11,2.3438
2000-02-14,-1.5267
2000-02-15,0.3876
2000-02-16,-0.3861
2000-02-17,0.7752
2000-02-18,-0.7692
2000-02-22,0.0
2000-02-23,0.3876
2000-02-24,-1.9304999999999999
2000-02-25,-1.9685000000000001
2000-02-28,-0.8032
2000-02-29,4.8583
2000-03-01,0.0
2000-03-02,-0.7722
2000-03-03,-1.5564
2000-03-06,-4.3478
2000-03-07,0.0
2000-03-08,1.2397
2000-03-09,0.8163
2000-03-10,-0.4049
2000-03-13,-0.4065
2000-03-14,0.4082
2000-03-15,-0.813
2000-03-16,3.2787
2000-03-17,-2.7778
2000-03-20,0.8163
2000-03-21,-0.4049
2000-03-22,0.4065
2000-03-23,-4.8583
2000-03-24,-2.9787
2000-03-27,-8.7719
2000-03-28,0.0
2000-03-29,0.9615
2000-03-30,10.4762
2000-03-31,2.5862
2000-04-03,-2.521
2000-04-04,-2.5862
2000-04-05,3.0973
2000-04-06,0.0
2000-04-07,-1.2876
2000-04-10,-3.0435
2000-04-11,0.0
2000-04-12,1.7936999999999999
2000-04-13,-1.3216
2000-04-14,0.4464
2000-04-17,6.6667
2000-04-18,-1.25
2000-04-19,-8.8608
2000-04-20,0.0
2000-04-24,-2.7778
2000-04-25,6.6667
2000-04-26,0.8929
2000-04-27,1.7699
2000-04-28,0.0
2000-05-01,0.4348
2000-05-02,-1.7316
2000-05-03,-1.3216
2000-05-04,1.7856999999999998
2000-05-05,-0.8772
2000-05-08,-0.0885
2000-05-09,0.0
2000-05-10,-2.2222
2000-05-11,0.9091
2000-05-12,-1.3514
2000-05-15,-5.0228
2000-05-16,-0.4808
2000-05-17,-0.9662
2000-05-18,-7.8049
2000-05-19,0.5291
2000-05-22,-3.1579
2000-05-23,-1.087
