ticker,KDN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9324
2000-01-04,0.2353
2000-01-05,0.0
2000-01-06,0.7042
2000-01-07,3.9627
2000-01-10,0.0
2000-01-11,-1.1211
2000-01-12,0.0
2000-01-13,2.0408
2000-01-14,0.2222
2000-01-18,0.6652
2000-01-19,0.0
2000-01-20,2.6432
2000-01-21,-0.8584
2000-01-24,-1.5152
2000-01-25,-1.7582
2000-01-26,-2.4609
2000-01-27,1.3761
2000-01-28,-1.3575
2000-01-31,-0.6881
2000-02-01,1.1547
2000-02-02,-3.653
2000-02-03,0.237
2000-02-04,-0.4728
2000-02-07,1.9002
2000-02-08,0.6993
2000-02-09,-1.8519
2000-02-10,-3.066
2000-02-11,-1.2165
2000-02-14,1.4778
2000-02-15,1.6989999999999998
2000-02-16,-0.716
2000-02-17,-0.4808
2000-02-18,-6.2802
2000-02-22,1.0309
2000-02-23,-1.0204
2000-02-24,-3.866
2000-02-25,0.5362
2000-02-28,-1.3333
2000-02-29,-0.5405
2000-03-01,-3.5326
2000-03-02,-1.1268
2000-03-03,3.4188
2000-03-06,-3.0303
2000-03-07,1.4205
2000-03-08,7.0028
2000-03-09,-0.5864
2000-03-10,-0.5291
2000-03-13,-2.1277
2000-03-14,4.0761
2000-03-15,4.4386
2000-03-16,10.0
2000-03-17,-3.1818
2000-03-20,3.9906
2000-03-21,-3.8375
2000-03-22,4.4601
2000-03-23,-0.8989
2000-03-24,-3.8548999999999998
2000-03-27,-1.6509
2000-03-28,-2.6379
2000-03-29,3.4483
2000-03-30,0.9524
2000-03-31,3.066
2000-04-03,-3.2037
2000-04-04,-0.7092
2000-04-05,0.0
2000-04-06,-1.4285999999999999
2000-04-07,-2.8986
2000-04-10,-4.7264
2000-04-11,5.2219
2000-04-12,-1.2407
2000-04-13,-0.5025
2000-04-14,-2.7778
2000-04-17,2.3377
2000-04-18,-1.7766
2000-04-19,-1.8088
2000-04-20,-1.3158
2000-04-24,-1.0667
2000-04-25,2.1563
2000-04-26,-0.5277
2000-04-27,-0.7958
2000-04-28,0.0
2000-05-01,0.2674
2000-05-02,-0.8
2000-05-03,-1.3441
2000-05-04,3.8147
2000-05-05,-2.8871
2000-05-08,-0.5405
2000-05-09,-2.1739
2000-05-10,-1.1111
2000-05-11,6.7416
2000-05-12,-1.8420999999999998
2000-05-15,4.2895
2000-05-16,-1.5424
2000-05-17,-1.3054999999999999
2000-05-18,-2.3810000000000002
2000-05-19,-2.439
