ticker,SFD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.4271
2000-01-04,-8.7193
2000-01-05,2.0896
2000-01-06,-0.3836
2000-01-07,-0.4955
2000-01-10,-5.8997
2000-01-11,-1.5674000000000001
2000-01-12,-0.3185
2000-01-13,0.0
2000-01-14,-0.9585
2000-01-18,-0.6452
2000-01-19,0.6494
2000-01-20,-1.2903
2000-01-21,-3.9215999999999998
2000-01-24,-3.4013999999999998
2000-01-25,-4.2254
2000-01-26,0.0
2000-01-27,0.7353
2000-01-28,0.7299
2000-01-31,6.1594
2000-02-01,0.6826
2000-02-02,-2.3729
2000-02-03,4.8611
2000-02-04,0.6623
2000-02-07,-2.9605
2000-02-08,-1.6949
2000-02-09,-2.7586
2000-02-10,-3.9007
2000-02-11,0.369
2000-02-14,-1.8382
2000-02-15,0.3745
2000-02-16,-0.3731
2000-02-17,-1.1236
2000-02-18,-1.8939
2000-02-22,0.3861
2000-02-23,-5.7692
2000-02-24,-2.8571
2000-02-25,4.6218
2000-02-28,1.2048
2000-02-29,-1.5873
2000-03-01,0.4032
2000-03-02,1.2048
2000-03-03,-0.3968
2000-03-06,-0.3984
2000-03-07,-3.6
2000-03-08,6.2241
2000-03-09,1.1719
2000-03-10,-1.1583
2000-03-13,0.0
2000-03-14,2.7344
2000-03-15,12.9278
2000-03-16,5.0505
2000-03-17,-0.641
2000-03-20,-2.2580999999999998
2000-03-21,0.9901
2000-03-22,-1.634
2000-03-23,-1.6611
2000-03-24,-3.7161999999999997
2000-03-27,-2.4561
2000-03-28,2.1583
2000-03-29,1.7606000000000002
2000-03-30,10.0346
2000-03-31,0.6289
2000-04-03,-2.1875
2000-04-04,14.377
2000-04-05,1.6760000000000002
2000-04-06,0.0
2000-04-07,-2.4725
2000-04-10,-8.169
2000-04-11,7.362
2000-04-12,0.5714
2000-04-13,-2.8409
2000-04-14,-0.5848
2000-04-17,3.2353
2000-04-18,0.0
2000-04-19,-0.5698
2000-04-20,-2.5788
2000-04-24,-1.7647
2000-04-25,5.0898
2000-04-26,-3.4188
2000-04-27,-0.59
2000-04-28,1.1869
2000-05-01,-0.5865
2000-05-02,-3.2448
2000-05-03,3.6585
2000-05-04,5.8824
2000-05-05,2.2222
2000-05-08,-2.1739
2000-05-09,-0.2778
2000-05-10,-2.7855
2000-05-11,3.1519
2000-05-12,-1.1111
2000-05-15,1.9663
2000-05-16,-0.8264
2000-05-17,-4.4444
2000-05-18,-2.0349
2000-05-19,0.8902
