ticker,LLY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.4098
2000-01-04,-3.1459
2000-01-05,1.2795
2000-01-06,2.9154999999999998
2000-01-07,7.3654
2000-01-10,-4.1337
2000-01-11,0.5505
2000-01-12,-1.4599
2000-01-13,-1.2037
2000-01-14,2.4367
2000-01-18,-1.4639
2000-01-19,0.65
2000-01-20,-2.952
2000-01-21,-1.5209000000000001
2000-01-24,-4.0541
2000-01-25,0.3018
2000-01-26,0.7021
2000-01-27,2.3904
2000-01-28,1.6537
2000-01-31,2.3923
2000-02-01,-1.9626000000000001
2000-02-02,-0.7626
2000-02-03,0.2882
2000-02-04,-0.5747
2000-02-07,-2.4085
2000-02-08,0.0
2000-02-09,-2.4679
2000-02-10,0.9109
2000-02-11,-0.6861
2000-02-14,-1.4199
2000-02-15,0.7202
2000-02-16,0.1021
2000-02-17,-1.7347000000000001
2000-02-18,-2.8037
2000-02-22,1.7094
2000-02-23,1.3655
2000-02-24,-2.9016
2000-02-25,-3.2016999999999998
2000-02-28,1.4333
2000-02-29,3.3696
2000-03-01,-0.9464
2000-03-02,-2.017
2000-03-03,0.5417
2000-03-06,-0.6466
2000-03-07,-5.423
2000-03-08,1.8349
2000-03-09,8.2207
2000-03-10,1.873
2000-03-13,-3.1665
2000-03-14,-3.0591
2000-03-15,9.2492
2000-03-16,3.1873
2000-03-17,-5.2124
2000-03-20,-1.0183
2000-03-21,1.5432000000000001
2000-03-22,3.0395
2000-03-23,1.2783
2000-03-24,-3.4951
2000-03-27,-2.6157
2000-03-28,-0.4132
2000-03-29,1.2448
2000-03-30,-0.4098
2000-03-31,3.0864
2000-04-03,4.3911999999999995
2000-04-04,5.5449
2000-04-05,-2.2248
2000-04-06,-2.3566
2000-04-07,-2.3719
2000-04-10,0.8746
2000-04-11,3.0829
2000-04-12,-2.6168
2000-04-13,7.4856
2000-04-14,-3.6607
2000-04-17,3.7998
2000-04-18,4.6429
2000-04-19,3.2423
2000-04-20,0.1653
2000-04-24,2.3102
2000-04-25,-0.6452
2000-04-26,1.0552
2000-04-27,0.1606
2000-04-28,-1.0425
2000-05-01,0.3241
2000-05-02,0.8078
2000-05-03,1.2821
2000-05-04,0.3165
2000-05-05,0.6309
2000-05-08,0.9404
2000-05-09,-1.087
2000-05-10,-2.9827
2000-05-11,-2.7379
2000-05-12,0.7513
2000-05-15,1.3256000000000001
2000-05-16,-1.9624000000000001
2000-05-17,-1.4178
2000-05-18,-0.1692
2000-05-19,2.9661
