ticker,FHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.3614
2000-01-04,-1.3029
2000-01-05,0.0
2000-01-06,0.33
2000-01-07,-0.3289
2000-01-10,1.6502
2000-01-11,-0.6494
2000-01-12,0.0
2000-01-13,3.5948
2000-01-14,-0.9464
2000-01-18,-0.3185
2000-01-19,0.3195
2000-01-20,0.0
2000-01-21,0.3185
2000-01-24,0.6349
2000-01-25,0.0
2000-01-26,1.2618
2000-01-27,0.3115
2000-01-28,1.8634
2000-01-31,-3.6585
2000-02-01,0.9494
2000-02-02,5.0157
2000-02-03,5.5737
2000-02-04,-1.6997
2000-02-07,2.0173
2000-02-08,-0.565
2000-02-09,-0.5682
2000-02-10,0.5714
2000-02-11,0.0
2000-02-14,-0.2841
2000-02-15,0.2849
2000-02-16,1.7045
2000-02-17,2.7933
2000-02-18,-0.8152
2000-02-22,2.4657999999999998
2000-02-23,-1.3369
2000-02-24,-1.084
2000-02-25,-2.1918
2000-02-28,1.6806999999999999
2000-02-29,2.7548
2000-03-01,1.3405
2000-03-02,0.0
2000-03-03,1.5873
2000-03-06,0.7813
2000-03-07,-1.292
2000-03-08,-3.1414
2000-03-09,2.7027
2000-03-10,0.2632
2000-03-13,-1.3123
2000-03-14,-2.1277
2000-03-15,5.163
2000-03-16,2.584
2000-03-17,0.5038
2000-03-20,1.0025
2000-03-21,0.9926
2000-03-22,2.457
2000-03-23,-3.1175
2000-03-24,2.7228
2000-03-27,-0.4819
2000-03-28,-0.7264
2000-03-29,1.2195
2000-03-30,4.8193
2000-03-31,0.4598
2000-04-03,-0.6865
2000-04-04,0.4608
2000-04-05,-0.6881
2000-04-06,3.9261
2000-04-07,0.2222
2000-04-10,1.5521
2000-04-11,3.7118
2000-04-12,4.2105
2000-04-13,-3.8384
2000-04-14,-1.8908
2000-04-17,-4.9251000000000005
2000-04-18,-0.6757
2000-04-19,0.6803
2000-04-20,-3.1532
2000-04-24,2.3256
2000-04-25,0.2273
2000-04-26,-3.4013999999999998
2000-04-27,0.2347
2000-04-28,5.8548
2000-05-01,2.8761
2000-05-02,1.9355
2000-05-03,-2.7426
2000-05-04,1.9262000000000001
2000-05-05,-0.8529
2000-05-08,-1.5053999999999998
2000-05-09,0.4367
2000-05-10,-1.5217
2000-05-11,2.2075
2000-05-12,-0.6479
2000-05-15,-0.2174
2000-05-16,0.8715
2000-05-17,-0.216
2000-05-18,1.0823
2000-05-19,0.0
2000-05-22,1.0707
2000-05-23,-3.3898
