ticker,ABF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.4091
2000-01-04,1.4706000000000001
2000-01-05,-0.2899
2000-01-06,10.7558
2000-01-07,-2.0997
2000-01-10,-2.4129
2000-01-11,-1.3736
2000-01-12,-4.4568
2000-01-13,6.9971
2000-01-14,6.812
2000-01-18,3.5714
2000-01-19,-0.4926
2000-01-20,-6.6832
2000-01-21,-8.2228
2000-01-24,0.8671
2000-01-25,-2.2923
2000-01-26,-1.173
2000-01-27,-1.7804
2000-01-28,-3.0211
2000-01-31,-2.4922
2000-02-01,-3.1949
2000-02-02,5.6106
2000-02-03,-2.5
2000-02-04,0.0
2000-02-07,-0.641
2000-02-08,1.6129
2000-02-09,-0.3175
2000-02-10,-2.8662
2000-02-11,1.5213
2000-02-14,-0.9709
2000-02-15,-0.6536
2000-02-16,-0.6579
2000-02-17,1.6556
2000-02-18,-1.6287
2000-02-22,-0.6623
2000-02-23,-1.0
2000-02-24,-3.7037
2000-02-25,1.7483
2000-02-28,0.0
2000-02-29,1.7182
2000-03-01,0.3378
2000-03-02,1.0101
2000-03-03,-1.3333
2000-03-06,1.0135
2000-03-07,-7.6923
2000-03-08,10.5072
2000-03-09,-1.6393
2000-03-10,-2.3333
2000-03-13,-3.0717
2000-03-14,-0.7042
2000-03-15,6.0284
2000-03-16,21.7391
2000-03-17,-10.4396
2000-03-20,-1.227
2000-03-21,0.6211
2000-03-22,3.0864
2000-03-23,4.491
2000-03-24,2.8653
2000-03-27,-6.9638
2000-03-28,2.3952
2000-03-29,-0.8772
2000-03-30,3.5398
2000-03-31,9.6866
2000-04-03,-9.6104
2000-04-04,2.8736
2000-04-05,1.9553
2000-04-06,-2.1918
2000-04-07,-3.6414999999999997
2000-04-10,0.2907
2000-04-11,6.3768
2000-04-12,-0.8174
2000-04-13,-5.2198
2000-04-14,-6.9565
2000-04-17,-3.7382999999999997
2000-04-18,5.178
2000-04-19,0.0
2000-04-20,-0.9231
2000-04-24,0.3106
2000-04-25,10.2167
2000-04-26,-5.3371
2000-04-27,2.6706
2000-04-28,-0.8671
2000-05-01,-1.7492999999999999
2000-05-02,-0.5935
2000-05-03,-4.4776
2000-05-04,2.8125
2000-05-05,3.234
2000-05-08,2.6549
2000-05-09,0.8621
2000-05-10,-2.5641
2000-05-11,1.462
2000-05-12,-1.4409
2000-05-15,1.1696
2000-05-16,0.289
2000-05-17,-3.4582
2000-05-18,0.0
2000-05-19,-5.0746
2000-05-22,1.8868
