ticker,UH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.2445
2000-01-04,-2.439
2000-01-05,1.25
2000-01-06,-0.9877
2000-01-07,2.9925
2000-01-10,1.4527999999999999
2000-01-11,-0.4773
2000-01-12,-0.2398
2000-01-13,3.125
2000-01-14,0.0
2000-01-18,0.4662
2000-01-19,1.8561
2000-01-20,-1.3667
2000-01-21,-0.4619
2000-01-24,-1.3921000000000001
2000-01-25,-2.5882
2000-01-26,-2.657
2000-01-27,-1.2407
2000-01-28,-0.7538
2000-01-31,-3.038
2000-02-01,0.0
2000-02-02,2.3499
2000-02-03,0.2551
2000-02-04,3.0534
2000-02-07,2.963
2000-02-08,2.3981
2000-02-09,-0.2342
2000-02-10,-5.1643
2000-02-11,-1.9802
2000-02-14,-2.5253
2000-02-15,0.2591
2000-02-16,2.8424
2000-02-17,40.201
2000-02-18,-0.3584
2000-02-22,-1.7986
2000-02-23,-0.3663
2000-02-24,0.0
2000-02-25,-0.3676
2000-02-28,0.9225
2000-02-29,0.1828
2000-03-01,0.9124
2000-03-02,-0.1808
2000-03-03,0.0
2000-03-06,0.0
2000-03-07,-0.5435
2000-03-08,0.5464
2000-03-09,0.1812
2000-03-10,0.7233
2000-03-13,0.5386
2000-03-14,-0.7143
2000-03-15,0.8993
2000-03-16,3.0303
2000-03-17,1.7301
2000-03-20,-0.8503
2000-03-21,1.3721999999999999
2000-03-22,-1.3536000000000001
2000-03-23,1.5436999999999999
2000-03-24,1.1824
2000-03-27,-0.1669
2000-03-28,-0.3344
2000-03-29,-0.8389
2000-03-30,1.692
2000-03-31,1.1647
2000-04-03,-0.9868
2000-04-04,-3.1561
2000-04-05,2.7443999999999997
2000-04-06,-1.0017
2000-04-07,1.5177
2000-04-10,-0.9967
2000-04-11,-0.5034
2000-04-12,1.3491
2000-04-13,-0.1664
2000-04-14,-3.8333
2000-04-17,-1.3865
2000-04-18,1.9332
2000-04-19,-0.3448
2000-04-20,2.0761
2000-04-24,-2.2034
2000-04-25,0.5199
2000-04-26,-1.3793
2000-04-27,0.5245
2000-04-28,-0.3478
2000-05-01,0.6981
2000-05-02,-3.6395
